Time (ka)	Benthic d18O (per mil)	Standard error (per mil)
0	3.15	0.22
0.5	3.36	0.22
1	3.21	0.22
1.5	3.31	0.22
2	3.28	0.22
2.5	3.18	0.22
3	3.31	0.22
3.5	3.26	0.22
4	3.21	0.22
4.5	3.31	0.22
5	3.34	0.22
5.5	3.27	0.22
6	3.28	0.22
6.5	3.36	0.22
7	3.39	0.22
7.5	3.36	0.22
8	3.34	0.22
8.5	3.36	0.22
9	3.36	0.22
9.5	3.49	0.22
10	3.52	0.22
10.5	3.49	0.22
11	3.55	0.22
11.5	3.79	0.22
12	3.83	0.22
12.5	3.91	0.22
13	4.15	0.22
13.5	4.04	0.22
14	4.16	0.22
14.5	4.17	0.22
15	4.31	0.22
15.5	4.18	0.22
16	4.47	0.22
16.5	4.66	0.22
17	4.68	0.22
17.5	4.87	0.22
18	5.04	0.22
18.5	5.04	0.22
19	5.06	0.22
19.5	5.02	0.22
20	4.95	0.22
20.5	4.97	0.22
21	4.98	0.22
21.5	4.99	0.22
22	4.99	0.22
22.5	4.93	0.22
23	4.94	0.22
23.5	4.84	0.22
24	4.85	0.22
24.5	4.73	0.22
25	4.8	0.22
25.5	4.83	0.22
26	4.86	0.22
26.5	4.8	0.22
27	4.76	0.22
27.5	4.83	0.22
28	4.74	0.22
28.5	4.69	0.22
29	4.67	0.22
29.5	4.59	0.22
30	4.62	0.22
30.5	4.69	0.22
31	4.65	0.22
31.5	4.69	0.22
32	4.69	0.22
32.5	4.6	0.22
33	4.66	0.22
33.5	4.61	0.22
34	4.59	0.22
34.5	4.56	0.22
35	4.46	0.22
35.5	4.46	0.22
36	4.53	0.22
36.5	4.46	0.22
37	4.35	0.22
37.5	4.31	0.22
38	4.37	0.22
38.5	4.45	0.22
39	4.44	0.22
39.5	4.47	0.22
40	4.57	0.22
40.5	4.61	0.22
41	4.58	0.22
41.5	4.44	0.22
42	4.54	0.22
42.5	4.52	0.22
43	4.38	0.22
43.5	4.39	0.22
44	4.53	0.22
44.5	4.48	0.22
45	4.44	0.22
45.5	4.45	0.22
46	4.29	0.22
46.5	4.23	0.22
47	4.29	0.22
47.5	4.35	0.22
48	4.4	0.22
48.5	4.46	0.22
49	4.52	0.22
49.5	4.54	0.22
50	4.52	0.22
50.5	4.48	0.22
51	4.46	0.22
51.5	4.42	0.22
52	4.37	0.22
52.5	4.36	0.22
53	4.25	0.22
53.5	4.29	0.22
54	4.36	0.22
54.5	4.36	0.22
55	4.44	0.22
55.5	4.38	0.22
56	4.4	0.22
56.5	4.46	0.22
57	4.47	0.22
57.5	4.4	0.22
58	4.35	0.22
58.5	4.37	0.22
59	4.27	0.22
59.5	4.17	0.22
60	4.38	0.22
60.5	4.44	0.22
61	4.43	0.22
61.5	4.44	0.22
62	4.47	0.22
62.5	4.53	0.22
63	4.62	0.22
63.5	4.61	0.22
64	4.69	0.22
64.5	4.63	0.22
65	4.66	0.22
65.5	4.65	0.22
66	4.51	0.22
66.5	4.53	0.22
67	4.51	0.22
67.5	4.56	0.22
68	4.55	0.22
68.5	4.44	0.22
69	4.5	0.22
69.5	4.35	0.22
70	4.26	0.22
70.5	4.29	0.22
71	4.23	0.22
71.5	4.09	0.22
72	4.09	0.22
72.5	4.23	0.22
73	4.22	0.22
73.5	4.25	0.22
74	4.11	0.22
74.5	4.19	0.22
75	3.91	0.22
75.5	3.89	0.22
76	3.91	0.22
76.5	3.93	0.22
77	4.07	0.22
77.5	4	0.22
78	4	0.22
78.5	4.02	0.22
79	3.98	0.22
79.5	4.05	0.22
80	4.01	0.22
80.5	3.89	0.22
81	3.92	0.22
81.5	3.96	0.22
82	3.88	0.22
82.5	3.88	0.22
83	3.88	0.22
83.5	3.86	0.22
84	3.78	0.22
84.5	3.74	0.22
85	3.76	0.22
85.5	3.69	0.22
86	3.78	0.22
86.5	4.01	0.22
87	4.16	0.22
87.5	4.19	0.22
88	4.16	0.22
88.5	4.24	0.22
89	4.18	0.22
89.5	4.13	0.22
90	4.12	0.22
90.5	4.13	0.22
91	4.02	0.22
91.5	4.02	0.22
92	3.9	0.22
92.5	3.95	0.22
93	3.95	0.22
93.5	3.91	0.22
94	3.97	0.22
94.5	3.89	0.22
95	3.83	0.22
95.5	3.88	0.22
96	3.88	0.22
96.5	3.86	0.22
97	3.76	0.22
97.5	3.82	0.22
98	3.64	0.22
98.5	3.79	0.22
99	3.89	0.22
99.5	3.74	0.22
100	3.82	0.22
100.5	3.71	0.22
101	3.74	0.22
101.5	3.81	0.22
102	3.73	0.22
102.5	3.84	0.22
103	3.77	0.22
103.5	3.68	0.22
104	3.79	0.22
104.5	3.95	0.22
105	3.94	0.22
105.5	3.97	0.22
106	3.9	0.22
106.5	3.88	0.22
107	3.92	0.22
107.5	3.88	0.22
108	3.9	0.22
108.5	3.99	0.22
109	4.08	0.22
109.5	4.07	0.22
110	4.11	0.22
110.5	4.13	0.22
