depth	d18O			
8.72	-0.9			
8.77	-1.14			
8.82	-1.2			
8.87	-1.36			
8.9	-0.81			
8.92	-0.94			
8.97	-1.11			
9.02	-0.99			
9.07	-0.86			
9.1	-1.58			
9.12	-1.38			
9.17	-1.44			
9.3	-0.99			
9.32	-1.13			
9.37	-1.05			
9.47	-1.16			
9.52	-1.08			
9.57	-1.15			
9.6	-1.03			
9.62	-1			
9.67	-1.04			
9.72	-0.9			
9.77	-0.99			
9.82	-1.16			
9.87	-1.25			
9.9	-1.27			
9.92	-1.35			
9.97	-1.05			
10.02	-1.02			
10.07	-1.32			
10.12	-1.11			
10.17	-1.55			
10.22	-1.32			
10.27	-1.78			
10.32	-1.4			
10.37	-1.84			
10.42	-1.46			
10.47	-1.66			
10.52	-1.46			
10.57	-1.71			
10.62	-1.38			
10.67	-1.54			
10.72	-1.6			
10.77	-1.32			
10.82	-1.23			
10.87	-1.32			
10.92	-1.17			
10.97	-1.46			
11.02	-1.72			
11.07	-1.6			
11.12	-1.74			
11.17	-1.84			
11.22	-1.77			
11.27	-1.7			
11.32	-1.92			
11.37	-2.05			
11.42	-1.92			
11.47	-2.28			
11.52	-2.13			
11.57	-2.06			
11.62	-1.78			
11.67	-1.74			
11.72	-1.88			
11.77	-1.95			
11.82	-2.01			
11.87	-2.03			
11.92	-2.18			
11.97	-2.05			
12.02	-2.01			
12.07	-2.02			
12.12	-1.91			
12.17	-1.72			
12.22	-1.61			
12.27	-1.69			
12.32	-1.46			
12.37	-1.36			
12.42	-1.57			
12.47	-1.31			
12.52	-1.58			
12.57	-1.61			
12.62	-1.4			
12.67	-1.48			
12.72	-2.01			
12.77	-1.94			
12.82	-1.99			
12.87	-2.05			
12.92	-2.02			
12.97	-2.15			
13.02	-2.2			
13.07	-2.33			
13.12	-2.25			
13.17	-1.75			
13.22	-1.56			
13.27	-1.53			
13.32	-1.36			
13.37	-1.4			
13.42	-1.31			
13.47	-1.24			
13.52	-1.33			
13.62	-1.05			
13.67	-1.37			
13.72	-1.21			
13.77	-0.99			
13.82	-1.21			
13.87	-1.16			
13.92	-1.19			
13.97	-1.3			
14.02	-1.43			
14.07	-1.44			
14.12	-1.4			
14.17	-1.3			
14.22	-1.54			
14.27	-1.33			
14.32	-1.42			
14.37	-1.56			
14.42	-1.19			
14.47	-1.31			
14.52	-1.25			
14.57	-1.09			
14.62	-1.16			
14.67	-1.21			
14.72	-1.47			
14.77	-1.33			
14.82	-1.33			
14.87	-1.6			
14.92	-1.51			
14.97	-1.82			
15	-1.82			
15.05	-1.55			
15.1	-2.03			
15.15	-2			
15.2	-2.06			
15.25	-2.11			
15.3	-2.16			
15.35	-1.96			
15.4	-2.07			
15.45	-2.05			
15.5	-1.6			
15.55	-1.78			
15.6	-1.67			
15.65	-1.7			
15.7	-1.66			
15.75	-1.68			
15.8	-1.69			
15.85	-1.63			
15.9	-1.54			
15.95	-1.47			
16	-1.5			
16.05	-1.81			
16.1	-1.88			
16.15	-2.06			
16.2	-1.76			
16.25	-1.9			
16.3	-1.95			
16.35	-1.86			
16.4	-2.03			
16.45	-1.77			
16.52	-2.21			
16.57	-2.03			
16.62	-2.29			
16.67	-2.2			
16.72	-2.04			
16.77	-2.11			
16.82	-1.7			
16.87	-1.85			
16.92	-2			
16.97	-1.98			
17.02	-2.2			
17.07	-2.31			
17.12	-2.41			
17.17	-2.65			
17.22	-2.4			
17.27	-2.43			
17.32	-2.51			
17.37	-2.42			
17.42	-2.41			
17.47	-2.24			
17.52	-2.49			
17.57	-2.22			
17.62	-2.17			
17.67	-2.22			
17.72	-1.62			
17.77	-1.51			
17.87	-1.17			
17.92	-1.04			
17.97	-1.17			
18.02	-0.73			
18.07	-1.13			
18.12	-1.02			
18.17	-1.11			
18.22	-0.82			
18.32	-1.08			
18.37	-1.13			
18.42	-1.15			
18.47	-1.186			
18.52	-1.242			
18.57	-1.333			
18.62	-1.072			
18.67	-1.267			
18.72	-1.161			
18.77	-1.433			
18.82	-1.579			
18.97	-1.335			
19	-1.415			
19.05	-1.621			
19.1	-1.511			
19.15	-1.698			
19.2	-1.6			
19.25	-1.708			
19.3	-1.704			
19.35	-1.719			
19.4	-1.91			
19.45	-1.793			
19.5	-2.009			
19.55	-1.701			
19.6	-1.5			
19.65	-1.568			
19.7	-1.804			
19.75	-1.89			
19.8	-1.892			
19.85	-2.029			
19.9	-2.132			
19.95	-2.11			
20	-2.102			
20.05	-2.009			
20.1	-2.04			
20.15	-1.955			
20.2	-2.087			
20.25	-1.781			
20.3	-1.91			
20.35	-1.863			
20.4	-1.878			
20.45	-1.873			
20.5	-2.055			
20.55	-2.369			
20.6	-2.367			
20.65	-2.507			
20.7	-2.69			
20.75	-2.556			
20.8	-2.502			
20.85	-2.43			
20.9	-2.487			
20.95	-2.69			
21	-2.614			
21.05	-2.505			
21.1	-2.467			
21.15	-2.451			
21.2	-2.523			
21.25	-2.297			
21.3	-2.438			
21.35	-2.409			
21.4	-2.139			
21.45	-1.981			
21.5	-1.541			
21.55	-1.579			
21.6	-1.336			
21.65	-1.216			
21.7	-1.076			
21.75	-0.964			
21.8	-0.973			
21.85	-0.696			
21.9	-0.706			
21.95	-0.993			
22	-0.931			
22.05	-0.958			
22.1	-1.099			
22.15	-1.01			
22.2	-1.223			
22.25	-1.301			
22.3	-1.322			
22.35	-1.393			
22.4	-1.284			
22.45	-1.217			
22.5	-1.276			
22.55	-1.294			
22.6	-1.275			
22.65	-1.266			
22.7	-1.069			
22.75	-1.095			
22.8	-1.548			
22.9	-1.283			
22.95	-1.532			
