Time (ka)	Benthic d18O (per mil)	Standard error (per mil)
0	2.786705025	0.22
1	2.841251939	0.22
2	2.904890005	0.22
3	2.932163462	0.22
4	2.841251939	0.22
5	2.959436919	0.22
6	2.904890005	0.22
7	3.00489268	0.22
8	2.959436919	0.22
9	2.977619223	0.22
10	3.12307766	0.22
11	3.150351117	0.22
12	3.404903381	0.22
13	3.695820254	0.22
14	3.704911406	0.22
15	3.841278691	0.22
16	3.986737127	0.22
17	4.177651325	0.22
18	4.504932808	0.22
19	4.523115113	0.22
20	4.423112437	0.22
21	4.450385894	0.22
22	4.459477046	0.22
23	4.414021285	0.22
24	4.332200914	0.22
25	4.286745153	0.22
26	4.341292067	0.22
27	4.250380544	0.22
28	4.232198239	0.22
29	4.168560173	0.22
30	4.123104412	0.22
31	4.150377869	0.22
32	4.186742478	0.22
33	4.159469021	0.22
34	4.095830955	0.22
35	3.977645975	0.22
36	4.041284041	0.22
37	3.8776433	0.22
38	3.895825604	0.22
39	3.959463671	0.22
40	4.07764865	0.22
41	4.086739803	0.22
42	4.050375193	0.22
43	3.904916757	0.22
44	4.041284041	0.22
45	3.959463671	0.22
46	3.823096386	0.22
47	3.823096386	0.22
48	3.923099061	0.22
49	4.032192889	0.22
50	4.032192889	0.22
51	3.977645975	0.22
52	3.895825604	0.22
53	3.786731777	0.22
54	3.886734452	0.22
55	3.959463671	0.22
56	3.923099061	0.22
57	3.986737127	0.22
58	3.8776433	0.22
59	3.804914082	0.22
60	3.904916757	0.22
61	3.950372518	0.22
62	3.986737127	0.22
63	4.123104412	0.22
64	4.186742478	0.22
65	4.159469021	0.22
66	4.023101737	0.22
67	4.023101737	0.22
68	4.059466346	0.22
69	4.014010584	0.22
70	3.795822929	0.22
71	3.768549472	0.22
72	3.64127334	0.22
73	3.75945832	0.22
74	3.659455645	0.22
75	3.477632599	0.22
76	3.477632599	0.22
77	3.623091036	0.22
78	3.55945297	0.22
79	3.541270665	0.22
80	3.568544122	0.22
81	3.486723751	0.22
82	3.450359142	0.22
83	3.450359142	0.22
84	3.359447619	0.22
85	3.341265315	0.22
86	3.359447619	0.22
87	3.704911406	0.22
88	3.704911406	0.22
89	3.723093711	0.22
90	3.668546797	0.22
91	3.577635274	0.22
92	3.468541447	0.22
93	3.513997208	0.22
94	3.532179513	0.22
95	3.404903381	0.22
96	3.450359142	0.22
97	3.341265315	0.22
98	3.232171487	0.22
99	3.459450295	0.22
100	3.395812228	0.22
101	3.32308301	0.22
102	3.313991858	0.22
103	3.350356467	0.22
104	3.368538772	0.22
105	3.504906056	0.22
106	3.468541447	0.22
107	3.486723751	0.22
108	3.468541447	0.22
109	3.632182188	0.22
110	3.659455645	0.22
110.625	3.632182188	0.22
111.25	3.568544122	0.22
111.875	3.495814904	0.22
112.5	3.368538772	0.22
113.125	3.304900706	0.22
113.75	3.24126264	0.22
114.375	3.159442269	0.22
115	3.032166137	0.22
115.625	2.986710375	0.22
116.25	2.968528071	0.22
116.875	2.877616548	0.22
117.5	2.823069634	0.22
118.125	2.832160786	0.22
118.75	2.832160786	0.22
119.375	2.76852272	0.22
120	2.741249264	0.22
122.5	2.741249264	0.22
125	2.723066959	0.22
127.5	2.759431568	0.22
130	2.759431568	0.22
131	2.950345766	0.22
132	3.050348441	0.22
133	3.459450295	0.22
134	3.75945832	0.22
135	4.050375193	0.22
136	4.304927458	0.22
137	4.438649643	0.22
137.1	4.468249	0.22
137.2	4.472986	0.22
137.3	4.477286	0.22
137.4	4.481234	0.22
137.5	4.48497	0.22
137.6	4.488523	0.22
137.7	4.492006	0.22
137.8	4.495186	0.22
137.9	4.498107	0.22
138	4.500728	0.22
138.1	4.503298	0.22
138.2	4.505864	0.22
138.3	4.508444	0.22
138.4	4.510791	0.22
138.5	4.512751	0.22
138.6	4.514474	0.22
138.7	4.516036	0.22
138.8	4.517393	0.22
138.9	4.518562	0.22
139	4.519491	0.22
139.1	4.519997	0.22
139.2	4.52028	0.22
139.3	4.520144	0.22
139.4	4.51952	0.22
139.5	4.518783	0.22
139.6	4.517817	0.22
139.7	4.516715	0.22
139.8	4.515479	0.22
139.9	4.514236	0.22
140	4.512534	0.22
140.1	4.510784	0.22
140.2	4.508989	0.22
140.3	4.507035	0.22
140.4	4.504892	0.22
140.5	4.502461	0.22
140.6	4.499933	0.22
140.7	4.497249	0.22
140.8	4.494234	0.22
140.9	4.491337	0.22
141	4.488306	0.22
141.1	4.485261	0.22
141.2	4.482102	0.22
141.3	4.478742	0.22
141.4	4.475296	0.22
141.5	4.471695	0.22
141.6	4.468031	0.22
141.7	4.46428	0.22
141.8	4.460383	0.22
141.9	4.456144	0.22
142	4.451885	0.22
142.1	4.447287	0.22
142.2	4.442767	0.22
142.3	4.438387	0.22
142.4	4.434228	0.22
142.5	4.430106	0.22
142.6	4.426354	0.22
142.7	4.42279	0.22
142.8	4.419466	0.22
142.9	4.416297	0.22
143	4.413398	0.22
143.1	4.410727	0.22
143.2	4.408033	0.22
143.3	4.405545	0.22
143.4	4.403008	0.22
143.5	4.400198	0.22
143.6	4.397323	0.22
143.7	4.394339	0.22
143.8	4.391277	0.22
143.9	4.388153	0.22
144	4.385188	0.22
144.1	4.382289	0.22
144.2	4.379447	0.22
144.3	4.376344	0.22
144.4	4.373092	0.22
144.5	4.369791	0.22
144.6	4.366187	0.22
144.7	4.362531	0.22
144.8	4.358626	0.22
144.9	4.354676	0.22
145	4.350508	0.22
145.1	4.34632	0.22
145.2	4.342088	0.22
145.3	4.338126	0.22
145.4	4.334242	0.22
145.5	4.330316	0.22
145.6	4.326465	0.22
145.7	4.322461	0.22
145.8	4.318179	0.22
145.9	4.313698	0.22
146	4.309257	0.22
146.1	4.304897	0.22
146.2	4.300676	0.22
146.3	4.296361	0.22
146.4	4.291746	0.22
146.5	4.286783	0.22
146.6	4.281536	0.22
146.7	4.276103	0.22
146.8	4.270566	0.22
146.9	4.265081	0.22
147	4.25952	0.22
147.1	4.253814	0.22
147.2	4.248086	0.22
147.3	4.242548	0.22
147.4	4.237222	0.22
147.5	4.232022	0.22
147.6	4.22688	0.22
147.7	4.221827	0.22
147.8	4.216709	0.22
147.9	4.211442	0.22
148	4.206118	0.22
148.1	4.200692	0.22
148.2	4.195202	0.22
148.3	4.18941	0.22
148.4	4.183805	0.22
148.5	4.178521	0.22
148.6	4.173571	0.22
148.7	4.168684	0.22
148.8	4.163948	0.22
148.9	4.159391	0.22
149	4.155121	0.22
149.1	4.151017	0.22
149.2	4.147061	0.22
149.3	4.143737	0.22
149.4	4.140689	0.22
149.5	4.137535	0.22
149.6	4.134428	0.22
149.7	4.13153	0.22
149.8	4.128532	0.22
149.9	4.125569	0.22
150	4.122688	0.22
150.1	4.119967	0.22
150.2	4.117268	0.22
150.3	4.114843	0.22
150.4	4.112746	0.22
150.5	4.110905	0.22
150.6	4.108883	0.22
150.7	4.106716	0.22
150.8	4.104584	0.22
150.9	4.102346	0.22
151	4.100215	0.22
151.1	4.098334	0.22
151.2	4.096547	0.22
151.3	4.094967	0.22
151.4	4.093557	0.22
151.5	4.092531	0.22
151.6	4.091739	0.22
151.7	4.091216	0.22
151.8	4.090989	0.22
151.9	4.091082	0.22
152	4.091494	0.22
152.1	4.092099	0.22
152.2	4.093097	0.22
152.3	4.094195	0.22
152.4	4.095259	0.22
152.5	4.096406	0.22
152.6	4.09733	0.22
152.7	4.098189	0.22
152.8	4.099213	0.22
152.9	4.100463	0.22
153	4.101717	0.22
153.1	4.103116	0.22
153.2	4.104616	0.22
153.3	4.106478	0.22
153.4	4.108299	0.22
153.5	4.110169	0.22
153.6	4.112598	0.22
153.7	4.115074	0.22
153.8	4.117667	0.22
153.9	4.120366	0.22
154	4.123309	0.22
154.1	4.126242	0.22
154.2	4.129131	0.22
154.3	4.131824	0.22
154.4	4.134435	0.22
154.5	4.137029	0.22
154.6	4.139661	0.22
154.7	4.142225	0.22
154.8	4.144619	0.22
154.9	4.146904	0.22
155	4.14897	0.22
155.1	4.150675	0.22
155.2	4.152237	0.22
155.3	4.15369	0.22
155.4	4.155255	0.22
155.5	4.156752	0.22
155.6	4.158299	0.22
155.7	4.159758	0.22
155.8	4.160937	0.22
155.9	4.16179	0.22
156	4.162427	0.22
156.1	4.162843	0.22
156.2	4.163131	0.22
156.3	4.163247	0.22
156.4	4.163269	0.22
156.5	4.163254	0.22
156.6	4.162749	0.22
156.7	4.162263	0.22
156.8	4.161839	0.22
156.9	4.161407	0.22
157	4.160916	0.22
157.1	4.160413	0.22
157.2	4.159877	0.22
157.3	4.159392	0.22
157.4	4.158971	0.22
157.5	4.158544	0.22
157.6	4.158328	0.22
157.7	4.15816	0.22
157.8	4.158141	0.22
157.9	4.157945	0.22
158	4.157816	0.22
158.1	4.157831	0.22
158.2	4.157903	0.22
158.3	4.15813	0.22
158.4	4.158514	0.22
158.5	4.158646	0.22
158.6	4.158624	0.22
158.7	4.158606	0.22
158.8	4.158245	0.22
158.9	4.157786	0.22
159	4.157295	0.22
159.1	4.156767	0.22
159.2	4.156088	0.22
159.3	4.155125	0.22
159.4	4.153896	0.22
159.5	4.152889	0.22
