Time (ka)	Benthic d18O (per mil)	Standard error (per mil)
0	3.506729412	0.22
1	3.530258824	0.22
2	3.553788235	0.22
3	3.562414634	0.22
4	3.516346899	0.22
5	3.674616152	0.22
6	3.811399663	0.22
7	3.828263069	0.22
8	4.05909901	0.22
9	4.074905923	0.22
10	4.695114983	0.22
11	4.939810427	0.22
12	4.82	0.22
13	5.186839378	0.22
14	5.378997912	0.22
15	5.395957447	0.22
16	5.373340441	0.22
17	5.346672862	0.22
18	5.243265766	0.22
19	5.256162047	0.22
20	5.175376532	0.22
21	5.100005336	0.22
22	5.116013874	0.22
23	4.982011173	0.22
24	5.037353325	0.22
25	4.968809219	0.22
26	4.94	0.22
27	4.889396051	0.22
28	4.921620553	0.22
29	5.023333333	0.22
30	4.903193571	0.22
31	4.812348008	0.22
32	4.852898154	0.22
33	4.811886535	0.22
34	4.854162257	0.22
35	4.77237037	0.22
36	4.761503106	0.22
37	4.806569659	0.22
38	4.724411164	0.22
39	4.765255276	0.22
40	4.772155477	0.22
41	4.912411821	0.22
42	4.767466667	0.22
43	4.730234375	0.22
44	4.717336957	0.22
45	4.568270893	0.22
46	4.600465658	0.22
47	4.747083744	0.22
48	4.692796353	0.22
49	4.592200647	0.22
50	4.827626886	0.22
51	4.890438247	0.22
52	4.718648649	0.22
53	4.749176829	0.22
54	4.493802326	0.22
55	4.66450495	0.22
56	4.741538462	0.22
57	4.75	0.22
58	4.787902098	0.22
59	4.76743833	0.22
60	4.870387858	0.22
61	5.094235501	0.22
62	4.79826087	0.22
63	4.929839357	0.22
64	4.90587156	0.22
65	4.938225	0.22
66	4.985409253	0.22
67	4.87480226	0.22
68	4.794610918	0.22
69	4.817839721	0.22
70	4.63687218	0.22
71	4.49985932	0.22
72	4.441242673	0.22
73	4.511267218	0.22
74	4.527631219	0.22
75	4.472861707	0.22
76	4.44	0.22
77	4.249202899	0.22
78	4.321666667	0.22
79	4.237077986	0.22
80	4.266692991	0.22
81	4.126728111	0.22
82	4.344300714	0.22
83	4.28550189	0.22
84	4.226703066	0.22
85	4.212460277	0.22
86	4.227837007	0.22
87	4.210864312	0.22
88	4.144497561	0.22
89	4.537937286	0.22
90	4.611430671	0.22
91	4.674320183	0.22
92	4.589546788	0.22
93	4.504773394	0.22
94	4.42	0.22
95	4.472147821	0.22
96	4.407938931	0.22
97	4.489106866	0.22
98	4.499432112	0.22
99	4.240043668	0.22
100	4.305545852	0.22
101	4.28397739	0.22
102	4.165786228	0.22
103	4.358209719	0.22
104	4.035853315	0.22
105	4.078166432	0.22
106	4.279128686	0.22
107	4.212104558	0.22
108	4.145080429	0.22
109	4.235714286	0.22
110	4.253591954	0.22
111	4.269318996	0.22
112	4.328157895	0.22
113	4.36575188	0.22
114	4.610723596	0.22
115	4.615217978	0.22
116	4.61971236	0.22
117	4.418257699	0.22
118	4.37773906	0.22
119	4.392820874	0.22
120	4.421029619	0.22
121	4.560788941	0.22
122	4.04157114	0.22
123	4.21	0.22
124	3.614125475	0.22
125	3.529818966	0.22
126	3.755476451	0.22
127	3.708495661	0.22
128	3.520981595	0.22
129	3.819783951	0.22
130	3.765983681	0.22
131	3.435595409	0.22
132	3.858687857	0.22
133	4.951889251	0.22
134	5.012210366	0.22
135	5.222091153	0.22
136	5.231631579	0.22
137	5.226152999	0.22
138	5.20413869	0.22
139	5.242691903	0.22
140	5.295268139	0.22
141	5.238475722	0.22
142	5.091565217	0.22
143	5.180961538	0.22
144	5.189702797	0.22
145	5.087129817	0.22
146	4.980638945	0.22
147	5.059386503	0.22
148	4.798237885	0.22
149	4.967537879	0.22
150	4.963631011	0.22
151	5.060980574	0.22
152	4.889842738	0.22
153	4.755464025	0.22
154	5.090753086	0.22
155	4.996772806	0.22
156	4.987352941	0.22
157	4.79740668	0.22
158	4.788212291	0.22
159	4.899760178	0.22
160	4.857950617	0.22
161	4.780223357	0.22
162	4.783778409	0.22
163	4.776368508	0.22
164	4.788734542	0.22
165	4.800819521	0.22
166	4.810027624	0.22
167	4.819235727	0.22
168	4.628496481	0.22
169	4.64585168	0.22
170	4.675	0.22
171	4.647474542	0.22
172	4.708574338	0.22
173	4.810417053	0.22
174	4.92163114	0.22
175	4.6175	0.22
176	4.817758398	0.22
177	4.70649943	0.22
178	4.763446002	0.22
179	4.829398186	0.22
180	4.71182165	0.22
181	4.816733429	0.22
182	4.735634518	0.22
183	4.786395939	0.22
184	4.83715736	0.22
185	4.887918782	0.22
186	4.834047936	0.22
187	4.756566463	0.22
188	4.704899014	0.22
189	4.619603524	0.22
190	4.31123348	0.22
191	4.330133333	0.22
192	4.403567223	0.22
193	4.094440628	0.22
194	4.196417526	0.22
195	4.079413651	0.22
196	3.946568942	0.22
197	3.986015901	0.22
198	3.893259717	0.22
199	3.99423329	0.22
200	3.94617737	0.22
201	3.89812145	0.22
202	3.718410201	0.22
203	3.870336408	0.22
204	3.982612282	0.22
205	4.00401487	0.22
206	3.980358229	0.22
207	3.956701588	0.22
208	3.95739645	0.22
209	3.965297383	0.22
210	3.941506741	0.22
211	3.924371364	0.22
212	3.9699064	0.22
213	4.015441437	0.22
214	4.060976474	0.22
215	3.815313396	0.22
216	3.782539943	0.22
217	3.749766489	0.22
218	3.9700409	0.22
219	3.718831169	0.22
220	3.762121212	0.22
221	3.84583718	0.22
222	3.963336131	0.22
223	4.080835082	0.22
224	3.949819277	0.22
225	3.96186747	0.22
226	4.697870409	0.22
227	4.689616178	0.22
228	4.681361948	0.22
229	4.546740028	0.22
230	4.615515818	0.22
231	4.684291609	0.22
232	4.526178649	0.22
233	4.347529412	0.22
234	4.485054945	0.22
235	4.585219298	0.22
236	4.62133119	0.22
237	4.627762058	0.22
238	4.320226244	0.22
239	4.138183716	0.22
240	4.117306889	0.22
241	4.128860759	0.22
242	4.14990566	0.22
243	3.733701443	0.22
244	3.604403433	0.22
245	4.27393133	0.22
246	3.845174263	0.22
247	4.676657579	0.22
248	4.693015267	0.22
249	4.664877408	0.22
250	4.603581436	0.22
251	4.647147514	0.22
252	4.934005168	0.22
253	4.978015162	0.22
254	4.971123363	0.22
255	4.949192045	0.22
256	4.908320127	0.22
257	4.919545984	0.22
258	4.764853273	0.22
259	4.854835165	0.22
260	4.766772616	0.22
261	4.72	0.22
262	4.763333333	0.22
263	4.781932203	0.22
264	4.817	0.22
265	4.811360947	0.22
266	4.791415254	0.22
267	4.875295815	0.22
268	4.723157895	0.22
269	4.880508941	0.22
270	4.868051282	0.22
271	4.919333333	0.22
272	4.851107492	0.22
273	4.781307585	0.22
274	4.925142315	0.22
275	4.887248908	0.22
276	4.805574686	0.22
277	4.726468125	0.22
278	4.783171997	0.22
279	4.863712655	0.22
280	4.794897617	0.22
281	4.726082578	0.22
282	4.657267539	0.22
283	4.588452501	0.22
284	4.519637462	0.22
285	4.451111111	0.22
286	4.406561845	0.22
287	4.362012579	0.22
288	4.317463312	0.22
289	4.25875969	0.22
290	4.34975052	0.22
291	4.45009165	0.22
292	4.000683188	0.22
293	4.402558607	0.22
294	4.401428571	0.22
295	4.379462435	0.22
296	4.559022727	0.22
297	4.844265579	0.22
298	4.792336795	0.22
299	4.688180147	0.22
300	4.5815625	0.22
301	4.569294872	0.22
302	4.697157135	0.22
303	4.624975014	0.22
304	4.612816349	0.22
305	4.632413214	0.22
306	4.652010078	0.22
307	4.24435977	0.22
308	4.297527692	0.22
309	4.350695614	0.22
310	4.308698018	0.22
311	4.246513797	0.22
312	4.261745789	0.22
313	4.50676876	0.22
314	4.645053358	0.22
315	4.525781544	0.22
316	4.40650973	0.22
317	4.274200508	0.22
318	4.033083756	0.22
319	4.053149448	0.22
320	4.096690751	0.22
321	3.977476871	0.22
322	3.960656013	0.22
323	4.075955236	0.22
324	3.984694082	0.22
325	3.794122367	0.22
326	3.603550652	0.22
327	3.55922189	0.22
328	3.572047884	0.22
329	3.591620795	0.22
330	3.566040762	0.22
331	3.519264952	0.22
332	3.472489141	0.22
333	3.393418662	0.22
334	3.302584641	0.22
335	3.287602041	0.22
336	3.381966019	0.22
337	3.636666667	0.22
338	3.917368421	0.22
339	4.207193209	0.22
340	4.379125296	0.22
341	4.551057382	0.22
342	4.722989469	0.22
343	4.894921556	0.22
344	4.928644986	0.22
345	5.082213189	0.22
346	5.124306539	0.22
347	4.799441899	0.22
348	4.474577259	0.22
349	4.557350392	0.22
350	4.722434998	0.22
351	5.1144854	0.22
352	4.903858305	0.22
353	4.827039275	0.22
354	4.902953899	0.22
355	4.806246246	0.22
356	4.772081575	0.22
357	4.815494505	0.22
358	4.908677582	0.22
359	4.899231738	0.22
360	4.889785894	0.22
361	4.88034005	0.22
362	4.868215159	0.22
363	4.85599022	0.22
364	4.843765281	0.22
365	4.831540342	0.22
366	4.932512842	0.22
367	4.834053938	0.22
368	4.832758051	0.22
369	4.750181668	0.22
370	4.670478745	0.22
371	4.686987206	0.22
372	4.703495667	0.22
373	4.792730375	0.22
374	4.758166501	0.22
375	4.665092593	0.22
376	4.677824268	0.22
377	4.571680217	0.22
378	4.517482993	0.22
379	4.554959677	0.22
380	4.504239468	0.22
381	4.588496674	0.22
382	4.67275388	0.22
383	4.641980033	0.22
384	4.600382696	0.22
385	4.297474206	0.22
386	4.454304581	0.22
387	4.563170029	0.22
388	4.360712909	0.22
389	4.278824663	0.22
390	4.244462541	0.22
391	4.331846371	0.22
392	4.317679181	0.22
393	4.298676471	0.22
394	4.249656863	0.22
395	4.260520017	0.22
396	4.149087908	0.22
397	4.12351145	0.22
398	4.238015267	0.22
399	4.1658	0.22
400	4.08622869	0.22
401	3.936540541	0.22
402	3.786852391	0.22
403	3.617995772	0.22
404	3.44040592	0.22
405	3.791666667	0.22
406	3.663567921	0.22
407	3.434435352	0.22
408	3.350592593	0.22
409	3.722909648	0.22
410	3.351642764	0.22
411	3.399831224	0.22
412	3.559575033	0.22
413	3.722649332	0.22
414	3.86319747	0.22
415	3.727267525	0.22
416	4.668640777	0.22
417	4.136190476	0.22
418	5.297013977	0.22
419	4.090815534	0.22
420	4.129650485	0.22
421	4.168485437	0.22
422	4.889381611	0.22
423	5.466842105	0.22
424	5.230768293	0.22
425	5.327159905	0.22
426	5.275786408	0.22
427	5.031208406	0.22
428	4.802508834	0.22
429	4.629442231	0.22
430	4.966291391	0.22
431	4.835671642	0.22
432	4.927009346	0.22
433	5.068088235	0.22
434	4.939070081	0.22
435	4.969354839	0.22
436	5.026299951	0.22
437	4.996699556	0.22
438	4.88247191	0.22
439	4.933772135	0.22
440	5.013959238	0.22
441	5.094146341	0.22
442	4.886717172	0.22
443	4.685824334	0.22
444	4.657026638	0.22
445	4.647767277	0.22
446	4.64481394	0.22
447	4.641860602	0.22
448	4.653287627	0.22
449	4.689200131	0.22
450	4.725112635	0.22
451	4.761025139	0.22
452	4.796937643	0.22
453	4.832850147	0.22
454	4.809897331	0.22
455	4.938461252	0.22
456	4.949638599	0.22
457	4.950717801	0.22
458	4.823564397	0.22
459	4.696410993	0.22
460	4.569257588	0.22
461	4.442104184	0.22
462	4.401856655	0.22
463	4.715849829	0.22
464	4.763065279	0.22
465	4.71260801	0.22
466	4.662150741	0.22
467	4.784541154	0.22
468	4.66785872	0.22
469	4.551176285	0.22
470	4.483690852	0.22
471	4.493154574	0.22
472	4.502618297	0.22
473	4.472745098	0.22
474	4.39714224	0.22
475	4.367981423	0.22
476	4.338820607	0.22
477	4.30965979	0.22
478	4.280498974	0.22
479	4.251338157	0.22
480	4.222177341	0.22
481	4.193016524	0.22
482	4.163855708	0.22
483	4.134694891	0.22
484	4.007133891	0.22
485	4.160165935	0.22
486	4.194328941	0.22
487	4.055375723	0.22
488	3.881965318	0.22
489	3.851395548	0.22
490	3.85567637	0.22
491	3.859957192	0.22
492	3.894108527	0.22
493	4.068770642	0.22
494	3.927185134	0.22
495	4.226470588	0.22
496	4.021867008	0.22
497	4.309840849	0.22
498	4.606890101	0.22
499	4.552330475	0.22
500	4.533870968	0.22
501	4.128639456	0.22
502	3.975641677	0.22
503	4.571301637	0.22
504	4.034381085	0.22
505	4.485058457	0.22
506	4.484736842	0.22
507	4.297219951	0.22
508	4.409614035	0.22
509	4.348534684	0.22
510	4.283754386	0.22
511	4.246435506	0.22
512	4.24481069	0.22
513	4.329360873	0.22
514	4.212447389	0.22
515	4.307903226	0.22
516	4.226638018	0.22
517	4.181137513	0.22
518	4.390320988	0.22
519	4.218352627	0.22
520	4.339866962	0.22
521	4.317728195	0.22
522	4.292072072	0.22
523	4.220987654	0.22
524	4.418892473	0.22
525	4.341776799	0.22
526	4.273360996	0.22
527	4.715753575	0.22
528	4.732877193	0.22
529	4.836277603	0.22
530	4.689333333	0.22
531	4.753403361	0.22
532	4.877393443	0.22
533	5.110480641	0.22
534	5.025609756	0.22
535	4.869978118	0.22
536	4.926354515	0.22
537	4.941818182	0.22
538	4.808163265	0.22
539	4.806903441	0.22
540	4.907937428	0.22
541	4.898961326	0.22
542	4.82496063	0.22
543	4.796019417	0.22
544	4.716540881	0.22
545	4.765675676	0.22
546	4.547480916	0.22
547	4.522035623	0.22
548	4.492731755	0.22
549	4.438491124	0.22
550	4.544579439	0.22
551	4.570319912	0.22
552	4.634026746	0.22
553	4.421050025	0.22
554	4.222991098	0.22
555	4.276403561	0.22
556	4.343479977	0.22
557	4.433722504	0.22
558	4.309131994	0.22
559	4.040121951	0.22
560	3.771111908	0.22
561	4.540372526	0.22
562	4.46508281	0.22
563	4.281714818	0.22
564	4.356484318	0.22
565	4.40754194	0.22
566	4.458599562	0.22
567	4.453099042	0.22
568	4.208012821	0.22
569	3.871177708	0.22
570	3.755509989	0.22
571	3.864375	0.22
572	3.784771242	0.22
573	3.577172885	0.22
574	3.624466632	0.22
575	3.856208251	0.22
576	3.703017493	0.22
577	3.721856823	0.22
578	3.706427948	0.22
579	3.523021834	0.22
580	3.672260655	0.22
581	4.04285979	0.22
582	4.472567694	0.22
583	3.818342391	0.22
584	4.576533149	0.22
585	4.818245856	0.22
586	4.441214018	0.22
587	4.438243993	0.22
588	4.667122752	0.22
589	4.250902256	0.22
590	4.476466165	0.22
591	4.642875481	0.22
592	4.912451861	0.22
593	4.302857143	0.22
594	4.523600642	0.22
595	4.561125402	0.22
596	4.392067039	0.22
597	4.317069219	0.22
598	4.278816199	0.22
599	4.358246216	0.22
600	4.345235457	0.22
601	4.186393443	0.22
602	4.337137216	0.22
603	4.390778032	0.22
604	4.261270802	0.22
605	4.114743326	0.22
606	4.382299479	0.22
607	4.09	0.22
608	4.277159905	0.22
609	4.095674419	0.22
610	4.00554717	0.22
611	4.239752747	0.22
612	4.095220779	0.22
613	4.214992436	0.22
614	4.058765957	0.22
615	3.93603033	0.22
616	3.969476551	0.22
617	3.844047363	0.22
618	3.95583056	0.22
619	4.017857791	0.22
620	3.99740376	0.22
621	4.128311258	0.22
622	4.276744601	0.22
623	4.207197452	0.22
624	5.08949464	0.22
625	4.553506891	0.22
626	4.087062409	0.22
627	4.62175933	0.22
628	5.149773096	0.22
629	5.347805519	0.22
630	5.466590406	0.22
631	5.422309963	0.22
632	5.40721943	0.22
633	5.420787986	0.22
634	5.486363636	0.22
635	5.27	0.22
636	5.264842105	0.22
637	5.297222722	0.22
638	5.323685039	0.22
639	5.337682503	0.22
640	5.305225225	0.22
641	5.226743119	0.22
642	5.123690476	0.22
643	5.26	0.22
644	5.1735	0.22
645	5.114650602	0.22
646	5.194404762	0.22
647	5.09	0.22
648	5.056852643	0.22
649	4.983745174	0.22
650	5.022355212	0.22
651	4.989076923	0.22
652	5.062520868	0.22
653	4.964772727	0.22
654	4.940664719	0.22
655	5.01106383	0.22
656	4.931346154	0.22
657	4.95459591	0.22
658	4.914029756	0.22
659	4.834804348	0.22
660	4.890636364	0.22
661	5.021412639	0.22
662	5.083797885	0.22
663	4.970661673	0.22
664	4.94056266	0.22
665	4.890370787	0.22
666	4.712031655	0.22
667	4.843064516	0.22
668	5.004354839	0.22
669	4.812591857	0.22
670	4.73175	0.22
671	4.7005	0.22
672	4.812268456	0.22
673	4.828580442	0.22
674	4.909220779	0.22
675	4.863192771	0.22
676	4.793763988	0.22
677	4.726686747	0.22
678	4.505803213	0.22
679	4.431448692	0.22
680	4.64992674	0.22
681	4.799966783	0.22
682	4.73847028	0.22
683	4.502708333	0.22
684	4.639346272	0.22
685	4.575952797	0.22
686	4.44665493	0.22
687	4.187293233	0.22
688	4.112105263	0.22
689	4.314366617	0.22
690	4.279562044	0.22
691	3.952667054	0.22
692	4.056750853	0.22
693	4.423129412	0.22
694	4.034894118	0.22
695	4.360434783	0.22
696	4.044112478	0.22
697	4.120421402	0.22
698	4.170330389	0.22
699	3.862978723	0.22
700	4.002444959	0.22
701	3.945540897	0.22
702	3.936774194	0.22
703	4.112235294	0.22
704	4.021949346	0.22
705	3.913734542	0.22
706	3.872514427	0.22
707	3.973042079	0.22
708	3.952695545	0.22
709	3.974972772	0.22
710	3.99725	0.22
711	3.951262376	0.22
712	4.075024752	0.22
713	4.273039572	0.22
714	4.232639594	0.22
715	4.101461717	0.22
716	4.182694971	0.22
717	4.145445545	0.22
718	4.326963696	0.22
719	4.628708593	0.22
720	4.32	0.22
721	4.548904594	0.22
722	4.804508095	0.22
723	4.407792208	0.22
724	4.688038278	0.22
725	4.779309091	0.22
726	4.870942813	0.22
727	4.740894737	0.22
728	4.560214477	0.22
729	4.436463054	0.22
730	4.402673797	0.22
731	4.536246575	0.22
732	4.448653846	0.22
733	4.391907692	0.22
734	4.448215613	0.22
735	4.32967033	0.22
736	4.470346154	0.22
737	4.374042553	0.22
738	4.4129375	0.22
739	4.494625641	0.22
740	4.574076087	0.22
741	4.405571795	0.22
742	4.427051282	0.22
743	4.30326087	0.22
744	4.796756757	0.22
745	4.770769231	0.22
746	4.756109215	0.22
747	4.762908367	0.22
748	4.978903226	0.22
749	4.869952957	0.22
750	4.751359223	0.22
751	4.804938272	0.22
752	4.846090535	0.22
753	4.674640052	0.22
754	4.630634586	0.22
755	4.838707281	0.22
756	4.720019634	0.22
757	4.721328534	0.22
758	4.682479058	0.22
759	4.749772481	0.22
760	4.642164179	0.22
761	4.448134328	0.22
762	4.617036649	0.22
763	4.458299008	0.22
764	4.75152356	0.22
765	4.622596859	0.22
766	4.538900524	0.22
767	4.525811518	0.22
768	4.337692308	0.22
769	4.275874346	0.22
770	4.49	0.22
771	4.49	0.22
772	4.36366879	0.22
773	4.211775758	0.22
774	4.335865258	0.22
775	4.072684825	0.22
776	4.104743455	0.22
777	4.173270869	0.22
778	4.059593425	0.22
779	3.949563234	0.22
780	3.839533043	0.22
781	3.745905759	0.22
782	4.09156213	0.22
783	3.95480597	0.22
784	3.993996176	0.22
785	3.91117801	0.22
786	3.839090314	0.22
787	3.686435578	0.22
788	3.659835411	0.22
789	3.823168317	0.22
790	3.798167203	0.22
791	4.674993365	0.22
792	3.827487352	0.22
793	4.895438898	0.22
794	4.927403492	0.22
795	4.959368085	0.22
796	4.991332678	0.22
797	4.745122435	0.22
798	5.029702184	0.22
799	5.16064	0.22
800	5.142178462	0.26
801	5.029969254	0.26
802	5.004549644	0.26
803	5.029685798	0.26
804	5.054821952	0.26
805	4.880375235	0.26
806	4.942914321	0.26
807	4.914584615	0.26
808	4.460738462	0.26
809	4.77880367	0.26
810	4.057339056	0.26
811	4.87746167	0.26
812	4.588133333	0.26
813	4.288738555	0.26
814	4.539908046	0.26
815	4.335093415	0.26
816	4.394052067	0.26
817	4.301522989	0.26
818	4.226810345	0.26
819	4.143103448	0.26
820	4.128940912	0.26
821	4.113931298	0.26
822	4.135714286	0.26
823	4.124902913	0.26
824	4.004612305	0.26
825	3.991155556	0.26
826	4.222266667	0.26
827	4.204508221	0.26
828	4.289	0.26
829	4.287148148	0.26
830	4.349876364	0.26
831	4.22624408	0.26
832	4.318270677	0.26
833	4.34375	0.26
834	4.122330827	0.26
835	3.897308257	0.26
836	3.953141346	0.26
837	4.008974434	0.26
838	4.064807523	0.26
839	4.643228745	0.26
840	4.450606187	0.26
841	4.317613636	0.26
842	4.211308651	0.26
843	4.112380863	0.26
844	4.163037523	0.26
845	3.871263015	0.26
846	3.87578995	0.26
847	3.867330317	0.26
848	3.926136752	0.26
849	4.126991453	0.26
850	4.060106007	0.26
851	3.759306488	0.26
852	3.683274785	0.26
853	3.794637392	0.26
854	3.906	0.26
855	3.924876616	0.26
856	4.099156999	0.26
857	4.060716484	0.26
858	4.142659686	0.26
859	3.665295736	0.26
860	3.699683631	0.26
861	3.734071527	0.26
862	4.104772727	0.26
863	3.634287926	0.26
864	3.838225806	0.26
865	3.916439628	0.26
866	3.58423676	0.26
867	4.857337461	0.26
868	4.900681115	0.26
869	5.022865854	0.26
870	4.827837181	0.26
871	4.96500774	0.26
872	5.08709799	0.26
873	5.018732394	0.26
874	4.858990712	0.26
875	5.08	0.26
876	5.076054054	0.26
877	4.973534884	0.26
878	5.01	0.26
879	5.01	0.26
880	4.892605322	0.26
881	4.941188849	0.26
882	4.949387811	0.26
883	4.957586772	0.26
884	4.965785734	0.26
885	4.772039678	0.26
886	4.793738376	0.26
887	4.815437074	0.26
888	4.837135772	0.26
889	4.928432602	0.26
890	4.917284061	0.26
891	4.828236866	0.26
892	4.796278481	0.26
893	4.86	0.26
894	4.86	0.26
895	4.86	0.26
896	4.86	0.26
897	4.796503603	0.26
898	4.709283276	0.26
899	4.644836957	0.26
900	4.792734761	0.26
901	4.677413509	0.26
902	4.59	0.26
903	4.59	0.26
904	4.354016563	0.26
905	4.405289673	0.26
906	4.274307305	0.26
907	4.230491803	0.26
908	4.45904059	0.26
909	4.409840098	0.26
910	4.42919708	0.26
911	4.465693431	0.26
912	4.120286175	0.26
913	4.152531237	0.26
914	4.1847763	0.26
915	4.238112523	0.26
916	4.351779097	0.26
917	4.114402544	0.26
918	4.137119491	0.26
919	4.373229437	0.26
920	4.338453739	0.26
921	4.14	0.26
922	4.221078184	0.26
923	4.306487342	0.26
924	4.446596045	0.26
925	4.862897119	0.26
926	4.520382979	0.26
927	4.590983193	0.26
928	4.788462185	0.26
929	4.853542056	0.26
930	4.68430622	0.26
931	4.755917834	0.26
932	4.359288703	0.26
933	4.603663366	0.26
934	4.645609756	0.26
935	4.397723971	0.26
936	4.427375456	0.26
937	4.206100935	0.26
938	4.333034483	0.26
939	4.500522167	0.26
940	4.18045911	0.26
941	4.166566416	0.26
942	4.213123288	0.26
943	4.032766764	0.26
944	4.007684729	0.26
945	4.103150985	0.26
946	4.093132108	0.26
947	3.986064562	0.26
948	4.035791191	0.26
949	3.98685155	0.26
950	3.96117226	0.26
951	3.93715505	0.26
952	3.658978102	0.26
953	3.774900287	0.26
954	3.696524631	0.26
955	3.574482759	0.26
956	3.643396226	0.26
957	3.539113752	0.26
958	3.536016756	0.26
959	3.398926123	0.26
960	3.615658043	0.26
961	3.586974128	0.26
962	3.442383808	0.26
963	4.23769774	0.26
964	3.941112912	0.26
965	3.838465694	0.26
966	3.9778009	0.26
967	4.086856892	0.26
968	4.518760331	0.26
969	4.45591133	0.26
970	4.739519651	0.26
971	4.529220588	0.26
972	4.687288136	0.26
973	4.503467826	0.26
974	4.536047088	0.26
975	4.363282675	0.26
976	4.362748527	0.26
977	4.083265525	0.26
978	4.161478261	0.26
979	4.286724605	0.26
980	4.128416988	0.26
981	4.08980695	0.26
982	3.866909272	0.26
983	3.974491979	0.26
984	4.006032	0.26
985	4.23996139	0.26
986	4.258363636	0.26
987	4.440181818	0.26
988	4.622	0.26
989	4.027846975	0.26
990	4.152402135	0.26
991	4.23506	0.26
992	4.41975048	0.26
993	4.372394958	0.26
994	4.569778182	0.26
995	4.30075	0.26
996	4.302154545	0.26
997	4.163018182	0.26
998	4.138509317	0.26
999	4.121519463	0.26
1000	4.087877358	0.26
1001	4.020108588	0.26
1002	4.020851263	0.26
1003	4.107465306	0.26
1004	4.092425743	0.26
1005	4.144615385	0.26
1006	4.318585248	0.26
1007	4.256749326	0.26
1008	4.344414115	0.26
1009	4.537490013	0.26
1010	4.127453287	0.26
1011	4.164136213	0.26
1012	4.570933333	0.26
1013	4.327260398	0.26
1014	4.303021309	0.26
1015	4.249264195	0.26
1016	4.338316151	0.26
1017	4.12067583	0.26
1018	4.352975654	0.26
1019	3.916212121	0.26
1020	4.114140625	0.26
1021	4.048042169	0.26
1022	3.848596491	0.26
1023	3.92366628	0.26
1024	3.856060606	0.26
1025	3.866939252	0.26
1026	3.93703271	0.26
1027	3.920588486	0.26
1028	3.848167028	0.26
1029	3.867189147	0.26
1030	3.977266667	0.26
1031	4.002114467	0.26
1032	4.137494235	0.26
1033	4.143650704	0.26
1034	4.380270423	0.26
1035	4.375036145	0.26
1036	4.471421687	0.26
1037	4.577248921	0.26
1038	4.722300725	0.26
1039	4.64125	0.26
1040	4.670875	0.26
1041	4.474209924	0.26
1042	4.430169972	0.26
