Time (ka)	Benthic d18O (per mil)	Standard error (per mil)
305.9273269	4.11	0.2
307.7324747	4.33	0.2
309.6515985	4.01	0.2
311.5793166	4.16	0.2
313.5334825	3.98	0.2
315.3186732	3.86	0.2
317.0412308	3.69	0.2
318.6714528	3.75	0.2
320.1566916	3.59	0.2
321.5960194	4.1	0.2
323.2304423	3.88	0.2
325.0183289	3.08	0.2
326.4659734	3.57	0.2
327.8460616	3.39	0.2
329.2927238	3.25	0.2
330.7294673	3.57	0.2
332.4158145	2.91	0.2
335.5188903	4.62	0.2
337.6202981	3.93	0.2
341.4252331	4.77	0.2
344.986129	4.78	0.2
348.4136124	4.64	0.2
350.9098119	4.63	0.2
352.9019718	4.75	0.2
355.0212819	4.43	0.2
357.0721487	4.66	0.2
358.9550328	4.73	0.2
361.0257129	4.7	0.2
363.3926129	4.79	0.2
366.1325854	4.41	0.2
368.5142721	4.39	0.2
370.6131688	4.24	0.2
372.4421437	4.22	0.2
374.1097618	4.34	0.2
375.8807838	4.325	0.2
377.603974	4.35	0.2
379.5521222	4.32	0.2
381.3711899	4.22	0.2
383.4299427	4.36	0.2
385.8138285	4.11	0.2
388.0638639	3.96	0.2
390.0577219	3.93	0.2
391.8282225	3.93	0.2
393.4097917	4.05	0.2
395.1414444	4.19	0.2
397.231908	4.25	0.2
399.8968317	3.65	0.2
401.9626392	3.52	0.2
403.6904244	3.4	0.2
405.285984	3.21	0.2
406.9305153	3.18	0.2
408.6301201	3.34	0.2
410.5758559	3.26	0.2
413.7750161	3.78	0.2
418.196275	3.88	0.2
425.5960013	4.75	0.2
428.344964	4.79	0.2
430.5861254	5.4	0.2
432.3000971	5.24	0.2
433.8442704	5.22	0.2
435.3349621	5.26	0.2
436.7714578	5.15	0.2
438.2616597	5.09	0.2
439.7718021	5.01	0.2
441.3962001	4.86	0.2
443.0237685	5.01	0.2
444.6728346	4.91	0.2
446.7080737	4.84	0.2
448.7866126	4.63	0.2
450.8920601	4.52	0.2
452.9241693	4.68	0.2
454.9264332	4.62	0.2
457.1386369	4.64	0.2
459.4357133	4.39	0.2
461.4582538	4.37	0.2
463.6216146	4.74	0.2
465.5542196	4.62	0.2
467.8947439	4.49	0.2
470.1775385	4.36	0.2
472.0953122	4.52	0.2
474.0955556	4.49	0.2
476.0985799	4.41	0.2
478.2268108	4.36	0.2
480.5268197	4.1	0.2
482.527956	4.04	0.2
484.3377099	4.1	0.2
486.0960584	3.87	0.2
487.8032812	3.71	0.2
489.389296	4.15	0.2
491.0139072	3.74	0.2
492.533343	3.55	0.2
494.2627429	3.46	0.2
496.0944875	4.55	0.2
497.7738349	4.03	0.2
499.3954649	3.99	0.2
501.1254716	3.85	0.2
502.9904038	3.84	0.2
505.3811079	3.94	0.2
508.75011	4.36	0.2
511.8521745	4.45	0.2
514.7001014	4.23	0.2
517.1771782	4.21	0.2
519.2140262	4.23	0.2
521.2969871	4.05	0.2
523.2418967	3.82	0.2
525.0571259	4.08	0.2
526.9832222	4.17	0.2
528.8887111	4.19	0.2
531.1243202	3.71	0.2
533.6716514	4.47	0.2
536.0966137	4.6	0.2
538.153582	4.59	0.2
540.1694545	4.63	0.2
542.3398111	4.42	0.2
544.4567771	4.71	0.2
546.5637633	4.53	0.2
548.818607	4.47	0.2
551.1233671	4.5	0.2
553.481869	4.44	0.2
556.1247067	4.46	0.2
559.3070225	4.35	0.2
567.4826224	4.08	0.2
571.8367549	3.71	0.2
574.8210347	3.69	0.2
577.4639027	3.56	0.2
580.6213743	3.9	0.2
584.7387904	4.44	0.2
588.4590943	4.34	0.2
592.0036566	4.28	0.2
595.6818436	3.82	0.2
598.7442254	4.06	0.2
601.5670563	3.92	0.2
604.4029238	4.07	0.2
607.0082302	4.14	0.2
609.5632723	3.74	0.2
611.6911911	3.86	0.2
613.7594284	3.69	0.2
615.8281702	3.7	0.2
618.2467196	4	0.2
620.9337944	4.4	0.2
624.1218352	4.62	0.2
634.0919967	4.68	0.2
640.7804549	4.76	0.2
645.088608	4.71	0.2
