age(kyr) mean(permil) sigma(permil)
1578.000000 3.541494 0.230303
1579.000000 3.538297 0.225140
1580.000000 3.526178 0.220481
1581.000000 3.507245 0.215215
1582.000000 3.484697 0.210177
1583.000000 3.457304 0.206230
1584.000000 3.428568 0.202202
1585.000000 3.400131 0.197694
1586.000000 3.373497 0.193095
1587.000000 3.349739 0.189787
1588.000000 3.329009 0.188100
1589.000000 3.308304 0.188061
1590.000000 3.292222 0.188638
1591.000000 3.279285 0.188532
1592.000000 3.267006 0.188174
1593.000000 3.252473 0.189132
1594.000000 3.234870 0.191319
1595.000000 3.212826 0.193455
1596.000000 3.188641 0.195390
1597.000000 3.170076 0.196352
1598.000000 3.152678 0.196149
1599.000000 3.137000 0.195824
1600.000000 3.126762 0.195071
1601.000000 3.118319 0.194112
1602.000000 3.112931 0.193356
1603.000000 3.112086 0.193357
1604.000000 3.117625 0.193375
1605.000000 3.127696 0.193736
1606.000000 3.141395 0.192709
1607.000000 3.159267 0.191684
1608.000000 3.182269 0.192203
1609.000000 3.204457 0.192784
1610.000000 3.224159 0.193060
1611.000000 3.244370 0.192601
1612.000000 3.260316 0.192789
1613.000000 3.271197 0.193652
1614.000000 3.274974 0.195540
1615.000000 3.273665 0.197975
1616.000000 3.268571 0.201226
1617.000000 3.260027 0.206547
1618.000000 3.251391 0.212528
1619.000000 3.242191 0.219750
1620.000000 3.232929 0.227955
1621.000000 3.224009 0.237105
1622.000000 3.211829 0.245296
1623.000000 3.197894 0.253542
1624.000000 3.177186 0.261603
1625.000000 3.147143 0.268364
1626.000000 3.113392 0.272643
1627.000000 3.079547 0.272912
1628.000000 3.046475 0.270224
1629.000000 3.014145 0.265328
1630.000000 2.988929 0.259518
1631.000000 2.970429 0.253807
1632.000000 2.959112 0.250159
1633.000000 2.954964 0.248556
1634.000000 2.960800 0.248985
1635.000000 2.977960 0.251049
1636.000000 3.003308 0.254414
1637.000000 3.037915 0.260051
1638.000000 3.080744 0.266412
1639.000000 3.128627 0.273537
1640.000000 3.176275 0.281431
1641.000000 3.222115 0.287746
1642.000000 3.271005 0.292735
1643.000000 3.317064 0.295535
1644.000000 3.361766 0.295279
1645.000000 3.402993 0.291844
1646.000000 3.437824 0.286037
1647.000000 3.464316 0.277944
1648.000000 3.486984 0.268543
1649.000000 3.505511 0.257974
1650.000000 3.518483 0.246858
1651.000000 3.525020 0.236700
1652.000000 3.528473 0.227002
1653.000000 3.535469 0.217682
1654.000000 3.548108 0.208891
1655.000000 3.563472 0.202593
1656.000000 3.585573 0.198165
1657.000000 3.607288 0.195033
1658.000000 3.623932 0.192201
1659.000000 3.631981 0.189180
1660.000000 3.627752 0.187771
1661.000000 3.610820 0.187305
1662.000000 3.581711 0.189279
1663.000000 3.549484 0.190672
1664.000000 3.513180 0.190379
1665.000000 3.475866 0.190308
1666.000000 3.434821 0.191377
1667.000000 3.390414 0.194603
1668.000000 3.344868 0.197677
1669.000000 3.299981 0.199196
1670.000000 3.257128 0.200038
1671.000000 3.216489 0.198328
1672.000000 3.179385 0.197079
1673.000000 3.145712 0.196381
1674.000000 3.119468 0.196894
1675.000000 3.098010 0.197835
1676.000000 3.079795 0.199130
1677.000000 3.064344 0.200380
1678.000000 3.050584 0.202352
1679.000000 3.038228 0.204271
1680.000000 3.028624 0.206174
1681.000000 3.023032 0.208693
1682.000000 3.023038 0.211843
1683.000000 3.027017 0.215337
1684.000000 3.033459 0.218812
1685.000000 3.042091 0.222726
1686.000000 3.053290 0.226841
1687.000000 3.064868 0.230396
1688.000000 3.078329 0.234016
1689.000000 3.095806 0.238363
1690.000000 3.116014 0.243547
1691.000000 3.138894 0.248666
1692.000000 3.165930 0.254186
1693.000000 3.197535 0.259865
1694.000000 3.230971 0.266169
1695.000000 3.265620 0.270795
1696.000000 3.301567 0.274477
1697.000000 3.338995 0.277389
1698.000000 3.374850 0.278958
1699.000000 3.407393 0.281111
1700.000000 3.436002 0.283746
1701.000000 3.460637 0.285497
1702.000000 3.479238 0.286797
1703.000000 3.491355 0.287637
1704.000000 3.494662 0.288658
1705.000000 3.489208 0.289677
1706.000000 3.477062 0.290652
1707.000000 3.458674 0.291843
1708.000000 3.435952 0.292975
1709.000000 3.409160 0.292871
1710.000000 3.378094 0.291219
1711.000000 3.345415 0.290038
1712.000000 3.312244 0.288467
1713.000000 3.282261 0.286578
1714.000000 3.256277 0.284511
1715.000000 3.231933 0.281924
1716.000000 3.209779 0.278756
1717.000000 3.191717 0.275581
1718.000000 3.178548 0.272012
1719.000000 3.173232 0.268625
1720.000000 3.174950 0.265817
1721.000000 3.182579 0.263513
1722.000000 3.191726 0.261515
1723.000000 3.199889 0.258397
1724.000000 3.208543 0.254650
1725.000000 3.217442 0.250235
1726.000000 3.223840 0.245863
1727.000000 3.228750 0.241464
1728.000000 3.231531 0.237590
1729.000000 3.234400 0.236004
1730.000000 3.235298 0.235749
1731.000000 3.235246 0.236315
1732.000000 3.236291 0.238253
1733.000000 3.236606 0.241557
1734.000000 3.239010 0.246581
1735.000000 3.247186 0.253528
1736.000000 3.257228 0.261992
1737.000000 3.268032 0.271425
1738.000000 3.280316 0.280879
1739.000000 3.293400 0.290723
1740.000000 3.310748 0.299910
1741.000000 3.332699 0.309677
1742.000000 3.356180 0.319534
1743.000000 3.379758 0.329163
1744.000000 3.404332 0.337488
1745.000000 3.426322 0.344638
1746.000000 3.442001 0.349904
1747.000000 3.450681 0.353625
1748.000000 3.450754 0.356864
1749.000000 3.443093 0.360591
1750.000000 3.431934 0.364391
1751.000000 3.417506 0.368188
1752.000000 3.399895 0.371281
1753.000000 3.375612 0.373629
1754.000000 3.348095 0.375646
1755.000000 3.318304 0.377426
1756.000000 3.283693 0.378875
1757.000000 3.247291 0.380509
1758.000000 3.211413 0.382499
1759.000000 3.175608 0.384257
1760.000000 3.140016 0.385854
1761.000000 3.104363 0.387137
1762.000000 3.070214 0.388103
1763.000000 3.039783 0.388709
1764.000000 3.010498 0.388792
1765.000000 2.982445 0.388510
1766.000000 2.956203 0.387892
1767.000000 2.932861 0.387109
1768.000000 2.912196 0.385981
1769.000000 2.893809 0.385097
1770.000000 2.878627 0.384209
1771.000000 2.867406 0.383307
1772.000000 2.860365 0.382289
1773.000000 2.857699 0.381268
1774.000000 2.857418 0.380250
1775.000000 2.860052 0.379434
1776.000000 2.865708 0.378797
1777.000000 2.872827 0.378296
1778.000000 2.882560 0.377540
1779.000000 2.894474 0.376374
1780.000000 2.908075 0.375241
1781.000000 2.923295 0.374297
1782.000000 2.939415 0.373529
1783.000000 2.956845 0.372724
1784.000000 2.974529 0.372527
1785.000000 2.993736 0.372721
1786.000000 3.014279 0.373258
1787.000000 3.036582 0.373986
1788.000000 3.060973 0.375032
1789.000000 3.087654 0.376033
1790.000000 3.115796 0.376895
1791.000000 3.144247 0.377459
1792.000000 3.171925 0.377090
1793.000000 3.199017 0.376369
1794.000000 3.225462 0.375544
1795.000000 3.252560 0.374452
1796.000000 3.280328 0.373096
1797.000000 3.308872 0.371260
1798.000000 3.336958 0.368774
1799.000000 3.362052 0.365489
1800.000000 3.384492 0.361896
1801.000000 3.402887 0.357637
1802.000000 3.416997 0.353005
1803.000000 3.427916 0.348679
1804.000000 3.434121 0.344472
1805.000000 3.436132 0.340076
1806.000000 3.434374 0.335671
1807.000000 3.429843 0.331729
1808.000000 3.420436 0.328167
1809.000000 3.407331 0.324810
1810.000000 3.392230 0.321275
1811.000000 3.375248 0.317451
1812.000000 3.356920 0.314486
1813.000000 3.336859 0.311598
1814.000000 3.314969 0.308712
1815.000000 3.295619 0.305648
1816.000000 3.278001 0.301932
1817.000000 3.260244 0.297419
1818.000000 3.244001 0.291911
1819.000000 3.228811 0.286263
1820.000000 3.215613 0.278842
1821.000000 3.205127 0.270274
1822.000000 3.196317 0.261498
1823.000000 3.190881 0.253726
1824.000000 3.185948 0.246148
1825.000000 3.181398 0.238813
1826.000000 3.179153 0.231766
1827.000000 3.176537 0.225391
1828.000000 3.174388 0.218812
1829.000000 3.171980 0.212758
1830.000000 3.173033 0.206947
1831.000000 3.172820 0.201504
1832.000000 3.171426 0.196953
1833.000000 3.168221 0.193670
1834.000000 3.163951 0.190809
1835.000000 3.160208 0.188972
1836.000000 3.156330 0.188425
1837.000000 3.152552 0.188997
1838.000000 3.147273 0.190362
1839.000000 3.139581 0.193467
1840.000000 3.135826 0.197473
1841.000000 3.133726 0.202003
1842.000000 3.134091 0.207559
1843.000000 3.135913 0.213971
1844.000000 3.139278 0.221322
1845.000000 3.146086 0.230389
1846.000000 3.155035 0.239900
1847.000000 3.164052 0.249060
1848.000000 3.176951 0.258097
1849.000000 3.196113 0.267261
1850.000000 3.221792 0.275938
1851.000000 3.253318 0.282566
1852.000000 3.291204 0.285226
1853.000000 3.334961 0.285613
1854.000000 3.381304 0.284249
1855.000000 3.425907 0.280979
1856.000000 3.469799 0.275816
1857.000000 3.508453 0.270211
1858.000000 3.540063 0.263373
1859.000000 3.560756 0.256114
1860.000000 3.566553 0.248326
1861.000000 3.559607 0.240426
1862.000000 3.539591 0.232385
1863.000000 3.509642 0.224603
1864.000000 3.472986 0.216988
1865.000000 3.433537 0.208813
1866.000000 3.397683 0.200683
1867.000000 3.364848 0.194335
1868.000000 3.337174 0.188850
1869.000000 3.319132 0.184302
1870.000000 3.312845 0.181464
1871.000000 3.313554 0.177976
1872.000000 3.320434 0.174175
1873.000000 3.328803 0.171349
1874.000000 3.334179 0.168793
1875.000000 3.326984 0.165985
1876.000000 3.306082 0.162482
1877.000000 3.271465 0.156997
1878.000000 3.236074 0.150263
1879.000000 3.206138 0.143485
1880.000000 3.180631 0.138294
1881.000000 3.160188 0.134254
1882.000000 3.146008 0.132412
1883.000000 3.135267 0.131302
1884.000000 3.121943 0.131921
1885.000000 3.106650 0.134450
1886.000000 3.092470 0.139050
1887.000000 3.075712 0.144364
1888.000000 3.060157 0.151517
1889.000000 3.046182 0.160027
1890.000000 3.037079 0.168923
1891.000000 3.036171 0.178626
1892.000000 3.046990 0.189275
1893.000000 3.064452 0.200062
1894.000000 3.086913 0.209610
1895.000000 3.113854 0.218761
1896.000000 3.142656 0.229220
1897.000000 3.175041 0.240562
1898.000000 3.214507 0.252677
1899.000000 3.259130 0.265671
1900.000000 3.311439 0.277650
1901.000000 3.367851 0.288198
1902.000000 3.423660 0.295445
1903.000000 3.472880 0.299807
1904.000000 3.507884 0.301949
1905.000000 3.528291 0.304140
1906.000000 3.536946 0.305122
1907.000000 3.532447 0.305198
1908.000000 3.520385 0.303615
1909.000000 3.501497 0.301292
1910.000000 3.481188 0.297655
1911.000000 3.463747 0.293145
1912.000000 3.446480 0.288318
1913.000000 3.430575 0.282938
1914.000000 3.414021 0.277080
1915.000000 3.396531 0.271682
1916.000000 3.377736 0.265709
1917.000000 3.357652 0.258718
1918.000000 3.334468 0.250550
1919.000000 3.309549 0.241606
1920.000000 3.284377 0.233536
1921.000000 3.257892 0.226126
1922.000000 3.232054 0.218070
1923.000000 3.206531 0.209928
1924.000000 3.179490 0.202280
1925.000000 3.151735 0.196133
1926.000000 3.124325 0.190573
1927.000000 3.102440 0.186478
