age(kyr) mean(permil) sigma(permil)
492.000000 3.461661 0.153396
493.000000 3.475401 0.152885
494.000000 3.505893 0.151178
495.000000 3.550415 0.148555
496.000000 3.597097 0.144745
497.000000 3.631905 0.140161
498.000000 3.652534 0.136375
499.000000 3.662352 0.133765
500.000000 3.667163 0.133473
501.000000 3.670986 0.135969
502.000000 3.683347 0.140310
503.000000 3.713728 0.145636
504.000000 3.761169 0.150598
505.000000 3.819350 0.153580
506.000000 3.878394 0.154502
507.000000 3.936260 0.153386
508.000000 3.987580 0.149877
509.000000 4.025379 0.146036
510.000000 4.048046 0.143975
511.000000 4.057000 0.143528
512.000000 4.058460 0.144944
513.000000 4.052495 0.148518
514.000000 4.038762 0.153234
515.000000 4.017163 0.157816
516.000000 3.987932 0.161388
517.000000 3.957575 0.163468
518.000000 3.927964 0.164807
519.000000 3.900100 0.164781
520.000000 3.877018 0.163675
521.000000 3.862547 0.162176
522.000000 3.857498 0.161007
523.000000 3.860212 0.159941
524.000000 3.872805 0.159604
525.000000 3.889649 0.159981
526.000000 3.908074 0.160581
527.000000 3.925593 0.162754
528.000000 3.939053 0.165112
529.000000 3.956251 0.167298
530.000000 3.980859 0.169331
531.000000 4.018178 0.169681
532.000000 4.067982 0.167714
533.000000 4.118497 0.163002
534.000000 4.167214 0.157326
535.000000 4.206727 0.150295
536.000000 4.237365 0.143725
537.000000 4.258521 0.138339
538.000000 4.271403 0.134681
539.000000 4.283635 0.133382
540.000000 4.289609 0.133115
541.000000 4.287017 0.134374
542.000000 4.278707 0.136616
543.000000 4.270200 0.138325
544.000000 4.258275 0.138000
545.000000 4.247121 0.136782
546.000000 4.240899 0.132647
547.000000 4.254128 0.126167
548.000000 4.251114 0.119576
549.000000 4.227883 0.115173
550.000000 4.200550 0.113302
551.000000 4.175531 0.114603
552.000000 4.152691 0.118985
553.000000 4.126647 0.124977
554.000000 4.095507 0.132631
555.000000 4.058797 0.140346
556.000000 4.022394 0.148053
557.000000 3.984062 0.155012
558.000000 3.948002 0.161171
559.000000 3.909909 0.166299
560.000000 3.873943 0.170553
561.000000 3.847408 0.173161
562.000000 3.820408 0.174087
563.000000 3.774314 0.173563
564.000000 3.729810 0.172243
565.000000 3.704576 0.169896
566.000000 3.696796 0.166729
567.000000 3.691554 0.164875
568.000000 3.677675 0.164707
569.000000 3.650170 0.165916
570.000000 3.608268 0.169169
571.000000 3.559159 0.172908
572.000000 3.498882 0.176765
573.000000 3.432212 0.180785
574.000000 3.380668 0.184312
575.000000 3.358098 0.189384
576.000000 3.370911 0.196979
577.000000 3.419710 0.206502
578.000000 3.503104 0.216975
579.000000 3.611704 0.226514
580.000000 3.721141 0.231831
581.000000 3.816481 0.231660
582.000000 3.887770 0.225952
583.000000 3.937246 0.214520
584.000000 3.968393 0.200640
585.000000 3.988606 0.186531
586.000000 4.009188 0.174639
587.000000 4.017374 0.166630
588.000000 4.005510 0.162251
589.000000 3.972717 0.160162
590.000000 3.929295 0.159185
591.000000 3.878699 0.157996
592.000000 3.831694 0.156379
593.000000 3.796751 0.156377
594.000000 3.777970 0.157219
595.000000 3.772021 0.158654
596.000000 3.776741 0.160361
597.000000 3.786765 0.160864
598.000000 3.795355 0.160366
599.000000 3.801202 0.158978
600.000000 3.799379 0.157921
601.000000 3.793899 0.158144
602.000000 3.783380 0.159302
603.000000 3.764290 0.160880
604.000000 3.738936 0.162629
605.000000 3.711931 0.164582
606.000000 3.680826 0.166916
607.000000 3.645045 0.168923
608.000000 3.598418 0.170579
609.000000 3.546913 0.171781
610.000000 3.505648 0.172471
611.000000 3.479119 0.173487
612.000000 3.472508 0.176044
613.000000 3.485343 0.180638
