Time (ka)	Benthic d18O (per mil)	Standard error (per mil)
0.56	3.12	0.2
2.69	3.13	0.2
3.1	3.16	0.2
4.13	3.21	0.2
5.13	3.27	0.2
5.62	3.35	0.2
5.92	3.44	0.2
7.1	3.56	0.2
7.58	3.7	0.2
8.59	3.88	0.2
10.02	4.07	0.2
10.08	4.25	0.2
11.55	4.41	0.2
12.47	4.55	0.2
13.05	4.67	0.2
14.01	4.76	0.2
14.91	4.83	0.2
15.2	4.86	0.2
15.41	4.87	0.2
16.82	4.87	0.2
17.36	4.85	0.2
17.79	4.82	0.2
18.23	4.79	0.2
19.64	4.76	0.2
19.8	4.715	0.2
20.37	4.67	0.2
22.25	4.64	0.2
22.96	4.61	0.2
23.86	4.58	0.2
24.63	4.56	0.2
24.97	4.54	0.2
25.75	4.52	0.2
26.58	4.495	0.2
26.83	4.48	0.2
27.69	4.48	0.2
28.2	4.47	0.2
29.04	4.46	0.2
29.82	4.45	0.2
31.25	4.42	0.2
31.43	4.4	0.2
31.58	4.39	0.2
33.05	4.38	0.2
33.45	4.37	0.2
33.53	4.36	0.2
34.66	4.35	0.2
35.47	4.34	0.2
36.28	4.33	0.2
37.89	4.32	0.2
39.36	4.32	0.2
39.51	4.33	0.2
40.07	4.34	0.2
41.12	4.35	0.2
41.31	4.34	0.2
42.28	4.33	0.2
42.74	4.31	0.2
43.25	4.265	0.2
44.35	4.23	0.2
44.49	4.21	0.2
45.18	4.21	0.2
46.04	4.23	0.2
46.63	4.25	0.2
46.76	4.27	0.2
47.77	4.28	0.2
48.43	4.28	0.2
49.05	4.29	0.2
49.51	4.3	0.2
50.24	4.3	0.2
51.24	4.29	0.2
51.34	4.28	0.2
52.04	4.26	0.2
52.97	4.24	0.2
53.63	4.22	0.2
53.85	4.21	0.2
54.71	4.21	0.2
55.11	4.23	0.2
55.92	4.25	0.2
56.44	4.27	0.2
57.46	4.3	0.2
58.17	4.32	0.2
58.21	4.34	0.2
59.26	4.38	0.2
59.91	4.42	0.2
60.5	4.45	0.2
61.07	4.47	0.2
61.64	4.47	0.2
62.79	4.47	0.2
62.88	4.47	0.2
63.37	4.47	0.2
64.68	4.46	0.2
65.08	4.45	0.2
66.49	4.42	0.2
67.37	4.36	0.2
69.09	4.28	0.2
69.43	4.23	0.2
70.1	4.18	0.2
70.83	4.13	0.2
72.53	4.095	0.2
72.68	4.07	0.2
73.41	4.035	0.2
75.6	3.98	0.2
76.09	3.94	0.2
76.74	3.89	0.2
78.67	3.85	0.2
78.76	3.82	0.2
80.79	3.785	0.2
81.44	3.76	0.2
81.73	3.75	0.2
84.11	3.74	0.2
84.8	3.745	0.2
84.84	3.77	0.2
86.79	3.82	0.2
87.87	3.87	0.2
88.89	3.95	0.2
90.93	4	0.2
