Age,d18O
0.0,3.158369
1.0,3.158207034162848
2.0,3.1512884896716513
3.0,3.144738027600344
4.0,3.1427863424091766
5.0,3.150330862899084
6.0,3.1730919257574906
7.0,3.2143520800504057
8.0,3.2597649309655017
9.0,3.3249901388185927
10.0,3.418239333968808
11.0,3.5290912388852758
12.0,3.6483147279456545
13.0,3.771847561948199
14.0,3.888135605174983
15.0,3.987879290879892
16.0,4.119285059003389
17.0,4.282325449929342
18.0,4.451714480312974
19.0,4.601252654377333
20.0,4.715938284913761
21.0,4.790913899159449
22.0,4.7946885257353955
23.0,4.7862332549388595
24.0,4.773356537544038
25.0,4.749973755740151
26.0,4.713523841807308
27.0,4.670677956756104
28.0,4.630424732932257
29.0,4.624865174836078
30.0,4.619801657572411
31.0,4.606074937241076
32.0,4.589562874133789
33.0,4.566151161206289
34.0,4.5292994872276555
35.0,4.4930872563729505
36.0,4.471650349438808
37.0,4.454936992949979
38.0,4.430427395403514
39.0,4.402126669995901
40.0,4.374996219277436
41.0,4.3414535664346605
42.0,4.299906080062555
43.0,4.2653013631022425
44.0,4.2552091517552135
45.0,4.2963547667823
46.0,4.352080534884076
47.0,4.375032865445608
48.0,4.3711917646337834
49.0,4.350337637828601
50.0,4.317403669403628
51.0,4.272007925492068
52.0,4.223305720013491
53.0,4.229121950380025
54.0,4.289061396647994
55.0,4.319103792973863
56.0,4.311060242702504
57.0,4.269028659098756
58.0,4.212624154928461
59.0,4.173798120933567
60.0,4.181504871079009
61.0,4.223230092657437
62.0,4.204720042633414
63.0,4.149781760976011
64.0,4.15151181404437
65.0,4.2131092172448925
66.0,4.272032892859037
67.0,4.328658025699568
68.0,4.376570538968265
69.0,4.405273321545579
70.0,4.419781692892264
71.0,4.432611825291095
72.0,4.439819421129093
73.0,4.423900879587022
74.0,4.3767469333730675
75.0,4.311645735257709
76.0,4.239939426441241
77.0,4.157958877073426
78.0,4.090309353134299
79.0,4.044023911835754
80.0,3.986604313407622
81.0,3.946734457978061
82.0,3.938914906052502
83.0,3.8976784004036777
84.0,3.839199176863143
85.0,3.762262711740236
86.0,3.6890126870741056
87.0,3.6429927720343893
