age(kyr) mean(permil) sigma(permil)
36195.000000 1.006812 0.119629
36198.000000 1.007027 0.119756
36201.000000 1.008347 0.119888
36204.000000 1.010188 0.119877
36207.000000 1.012461 0.119756
36210.000000 1.014936 0.119680
36213.000000 1.017648 0.119393
36216.000000 1.019565 0.119126
36219.000000 1.021288 0.118740
36222.000000 1.022970 0.118351
36225.000000 1.024017 0.118091
36228.000000 1.024490 0.117720
36231.000000 1.024667 0.117460
36234.000000 1.024240 0.117317
36237.000000 1.023015 0.117170
36240.000000 1.021933 0.117041
36243.000000 1.020744 0.117021
36246.000000 1.019392 0.116854
36249.000000 1.017978 0.116737
36252.000000 1.016494 0.116645
36255.000000 1.015015 0.116417
36258.000000 1.013957 0.116290
36261.000000 1.013141 0.116241
36264.000000 1.012456 0.116234
36267.000000 1.012184 0.116300
36270.000000 1.012073 0.116292
36273.000000 1.011331 0.116377
36276.000000 1.010473 0.116433
36279.000000 1.009628 0.116381
36282.000000 1.008936 0.116471
36285.000000 1.008542 0.116516
36288.000000 1.008501 0.116590
36291.000000 1.008751 0.116796
36294.000000 1.009215 0.117216
36297.000000 1.009799 0.117360
36300.000000 1.010253 0.117303
36303.000000 1.010824 0.117431
36306.000000 1.011378 0.117507
36309.000000 1.012032 0.117595
36312.000000 1.012497 0.117652
36315.000000 1.012844 0.117731
36318.000000 1.013477 0.117963
36321.000000 1.013972 0.117986
36324.000000 1.014134 0.118022
36327.000000 1.014385 0.117971
36330.000000 1.014856 0.117859
36333.000000 1.015708 0.117543
36336.000000 1.016937 0.117228
36339.000000 1.018817 0.117259
36342.000000 1.021124 0.117345
36345.000000 1.024081 0.117455
36348.000000 1.027467 0.117503
36351.000000 1.031327 0.117589
36354.000000 1.035691 0.117777
36357.000000 1.040670 0.117808
36360.000000 1.046227 0.117860
36363.000000 1.051479 0.117865
36366.000000 1.056269 0.117626
36369.000000 1.060491 0.117367
36372.000000 1.063641 0.117120
36375.000000 1.065701 0.116976
36378.000000 1.066800 0.116865
36381.000000 1.066850 0.116850
36384.000000 1.066271 0.116961
36387.000000 1.065133 0.117014
36390.000000 1.064175 0.117052
36393.000000 1.063581 0.116900
36396.000000 1.063760 0.116890
36399.000000 1.065510 0.117070
36402.000000 1.068753 0.117359
36405.000000 1.073605 0.117717
36408.000000 1.078881 0.117939
36411.000000 1.084835 0.118099
36414.000000 1.091111 0.118137
36417.000000 1.096736 0.117902
36420.000000 1.101537 0.117569
36423.000000 1.105001 0.117208
36426.000000 1.106867 0.117151
36429.000000 1.106854 0.117410
