Time (ka)	Benthic d18O (per mil)	Standard error (per mil)
0.00	3.22	0.15
1.00	3.22	0.21
2.00	3.22	0.14
3.00	3.27	0.20
4.00	3.23	0.16
5.00	3.27	0.15
6.00	3.39	0.36
7.00	3.31	0.13
8.00	3.38	0.19
9.00	3.46	0.13
10.00	3.58	0.29
11.00	3.72	0.24
12.00	3.92	0.29
13.00	4.00	0.17
14.00	4.14	0.22
15.00	4.15	0.38
16.00	4.41	0.16
17.00	4.62	0.26
18.00	4.72	0.27
19.00	4.87	0.19
20.00	4.89	0.17
21.00	4.91	0.12
22.00	4.94	0.09
23.00	4.89	0.13
24.00	4.88	0.12
25.00	4.87	0.09
26.00	4.57	0.44
27.00	4.83	0.14
28.00	4.79	0.09
29.00	4.75	0.13
30.00	4.73	0.15
31.00	4.70	0.12
32.00	4.68	0.12
33.00	4.70	0.18
34.00	4.69	0.13
35.00	4.64	0.12
36.00	4.63	0.10
37.00	4.55	0.14
38.00	4.48	0.27
39.00	4.55	0.11
40.00	4.54	0.13
41.00	4.45	0.20
42.00	4.50	0.15
43.00	4.53	0.10
44.00	4.53	0.12
45.00	4.52	0.10
46.00	4.47	0.12
47.00	4.47	0.09
48.00	4.47	0.18
49.00	4.44	0.15
50.00	4.39	0.17
51.00	4.46	0.08
52.00	4.45	0.22
53.00	4.44	0.15
54.00	4.40	0.08
55.00	4.36	0.13
56.00	4.32	0.11
57.00	4.31	0.11
58.00	4.33	0.14
59.00	4.34	0.14
60.00	4.34	0.12
61.00	4.35	0.20
62.00	4.39	0.10
63.00	4.42	0.13
64.00	4.37	0.23
65.00	4.38	0.23
66.00	4.52	0.11
67.00	4.53	0.15
68.00	4.54	0.18
69.00	4.55	0.10
70.00	4.52	0.13
71.00	4.42	0.28
72.00	4.47	0.13
73.00	4.41	0.11
74.00	4.32	0.17
75.00	4.28	0.24
76.00	4.24	0.14
77.00	4.23	0.18
78.00	4.18	0.14
79.00	4.10	0.20
80.00	4.07	0.15
81.00	4.01	0.14
82.00	3.97	0.22
83.00	3.95	0.22
84.00	3.94	0.37
85.00	3.98	0.36
86.00	3.95	0.31
87.00	3.97	0.30
88.00	4.09	0.25
89.00	4.16	0.25
90.00	4.22	0.23
91.00	4.15	0.17
92.00	4.13	0.14
93.00	4.11	0.13
94.00	4.01	0.16
95.00	3.98	0.10
96.00	3.95	0.15
97.00	3.89	0.08
98.00	3.79	0.16
99.00	3.81	0.35
100.00	3.81	0.10
101.00	3.86	0.17
102.00	3.93	0.25
103.00	3.87	0.23
104.00	3.86	0.14
105.00	3.85	0.32
106.00	3.92	0.21
107.00	3.93	0.27
108.00	3.97	0.26
109.00	3.99	0.23
110.00	3.99	0.30
111.00	4.04	0.15
112.00	4.04	0.20
113.00	3.99	0.25
114.00	3.95	0.11
115.00	3.88	0.27
116.00	3.75	0.22
117.00	3.62	0.18
118.00	3.60	0.30
119.00	3.36	0.15
120.00	3.35	0.21
121.00	3.44	0.45
122.00	3.15	0.11
123.00	3.10	0.10
124.00	3.32	0.39
125.00	3.06	0.14
126.00	3.13	0.18
127.00	3.38	0.36
128.00	3.57	0.47
129.00	3.98	0.57
130.00	3.84	0.38
131.00	4.03	0.26
132.00	4.30	0.23
133.00	4.38	0.38
134.00	4.61	0.23
135.00	4.82	0.13
136.00	4.71	0.29
137.00	4.85	0.16
138.00	4.89	0.13
139.00	4.81	0.27
140.00	4.91	0.15
141.00	4.85	0.12
142.00	4.76	0.21
143.00	4.78	0.15
144.00	4.73	0.10
145.00	4.66	0.30
146.00	4.69	0.13
147.00	4.65	0.19
148.00	4.62	0.13
149.00	4.57	0.33
150.00	4.61	0.12
151.00	4.61	0.15
152.00	4.60	0.12
153.00	4.57	0.18
154.00	4.61	0.11
155.00	4.56	0.31
156.00	4.65	0.14
157.00	4.66	0.20
158.00	4.68	0.16
159.00	4.67	0.16
160.00	4.68	0.22
161.00	4.70	0.08
162.00	4.64	0.36
163.00	4.66	0.11
164.00	4.65	0.19
165.00	4.60	0.10
166.00	4.53	0.11
167.00	4.49	0.24
