age(kyr) mean(permil) sigma(permil)
19.800000 -1.111998 0.173612
19.900000 -1.111148 0.177097
20.000000 -1.116221 0.174538
20.100000 -1.124805 0.172328
20.200000 -1.132915 0.176953
20.300000 -1.139684 0.170368
20.400000 -1.147486 0.168404
20.500000 -1.153246 0.166204
20.600000 -1.154986 0.167897
20.700000 -1.157552 0.174608
20.800000 -1.161276 0.172556
20.900000 -1.162341 0.171462
21.000000 -1.161157 0.164780
21.100000 -1.162326 0.165548
21.200000 -1.162723 0.169862
21.300000 -1.163693 0.170753
21.400000 -1.166461 0.170551
21.500000 -1.171185 0.165095
21.600000 -1.173733 0.164654
21.700000 -1.176006 0.166496
21.800000 -1.176200 0.168488
21.900000 -1.175838 0.169193
22.000000 -1.175605 0.166003
22.100000 -1.178093 0.163302
22.200000 -1.180978 0.161542
22.300000 -1.185801 0.161396
22.400000 -1.191561 0.162626
22.500000 -1.197244 0.163996
22.600000 -1.201125 0.167928
22.700000 -1.204867 0.173173
22.800000 -1.207356 0.174421
22.900000 -1.209090 0.172170
23.000000 -1.208866 0.166974
23.100000 -1.208773 0.166740
23.200000 -1.209335 0.170253
23.300000 -1.211072 0.174247
23.400000 -1.213378 0.177820
23.500000 -1.217704 0.172619
23.600000 -1.222503 0.170223
23.700000 -1.226886 0.170220
23.800000 -1.230257 0.172936
23.900000 -1.232897 0.176434
24.000000 -1.238077 0.174196
24.100000 -1.244678 0.174482
24.200000 -1.251196 0.176019
24.300000 -1.260209 0.177488
24.400000 -1.270806 0.181399
24.500000 -1.278032 0.180036
24.600000 -1.283879 0.181264
24.700000 -1.290395 0.181987
24.800000 -1.292526 0.180087
24.900000 -1.292957 0.181565
25.000000 -1.293683 0.178749
25.100000 -1.293251 0.178106
25.200000 -1.292303 0.180798
25.300000 -1.295868 0.185964
25.400000 -1.300254 0.187876
25.500000 -1.303588 0.183760
25.600000 -1.308726 0.182666
25.700000 -1.313702 0.183098
25.800000 -1.315267 0.183414
25.900000 -1.316511 0.182295
26.000000 -1.320239 0.180172
26.100000 -1.322897 0.182481
26.200000 -1.326181 0.186726
26.300000 -1.332039 0.187051
26.400000 -1.338167 0.187511
26.500000 -1.343237 0.189362
26.600000 -1.348492 0.194089
26.700000 -1.351191 0.196297
26.800000 -1.349832 0.193640
26.900000 -1.345452 0.192634
27.000000 -1.339176 0.193874
27.100000 -1.333371 0.200669
27.200000 -1.330789 0.204463
27.300000 -1.332554 0.203497
27.400000 -1.339888 0.202041
27.500000 -1.351749 0.197603
27.600000 -1.362595 0.196852
27.700000 -1.372312 0.198561
27.800000 -1.381005 0.202237
27.900000 -1.388000 0.207685
28.000000 -1.392162 0.210512
28.100000 -1.399504 0.213888
28.200000 -1.410726 0.217629
28.300000 -1.425085 0.218580
28.400000 -1.436021 0.222393
28.500000 -1.443953 0.223918
28.600000 -1.446272 0.230314
28.700000 -1.439466 0.236013
28.800000 -1.424321 0.237033
28.900000 -1.412532 0.236113
29.000000 -1.406663 0.227568
29.100000 -1.404589 0.227443
29.200000 -1.410422 0.234419
29.300000 -1.422488 0.245507
29.400000 -1.433549 0.252561
29.500000 -1.439916 0.246356
29.600000 -1.447340 0.240777
29.700000 -1.451946 0.238052
29.800000 -1.454032 0.238335
29.900000 -1.455565 0.242922
30.000000 -1.462773 0.238610
30.100000 -1.467592 0.242092
30.200000 -1.475103 0.247566
30.300000 -1.485985 0.246586
30.400000 -1.497782 0.251779
30.500000 -1.504554 0.248721
30.600000 -1.512844 0.248284
30.700000 -1.514533 0.249951
30.800000 -1.513329 0.251960
30.900000 -1.511993 0.252115
31.000000 -1.511351 0.247525
31.100000 -1.509661 0.247245
31.200000 -1.513760 0.246941
31.300000 -1.515555 0.250221
31.400000 -1.519137 0.257383
31.500000 -1.524324 0.257788
31.600000 -1.530576 0.255348
31.700000 -1.536336 0.256208
31.800000 -1.547280 0.254700
31.900000 -1.552932 0.260922
32.000000 -1.555177 0.264096
32.100000 -1.555743 0.264508
32.200000 -1.553726 0.267747
32.300000 -1.547269 0.267029
32.400000 -1.544141 0.267301
32.500000 -1.543016 0.263246
32.600000 -1.541332 0.262969
32.700000 -1.540349 0.267683
32.800000 -1.546260 0.279121
32.900000 -1.555739 0.284875
33.000000 -1.567922 0.282071
33.100000 -1.582418 0.283327
33.200000 -1.599025 0.285731
33.300000 -1.606970 0.289054
33.400000 -1.608634 0.289917
33.500000 -1.607883 0.279987
33.600000 -1.605449 0.270529
33.700000 -1.596774 0.267105
33.800000 -1.590487 0.268906
33.900000 -1.584550 0.275104
34.000000 -1.573721 0.279008
34.100000 -1.562049 0.281702
34.200000 -1.557778 0.277163
34.300000 -1.553647 0.268902
34.400000 -1.552115 0.268167
34.500000 -1.556750 0.269483
34.600000 -1.563221 0.277615
34.700000 -1.565591 0.282684
34.800000 -1.569133 0.276069
34.900000 -1.572629 0.271917
35.000000 -1.575957 0.272315
35.100000 -1.579846 0.279579
35.200000 -1.583839 0.279398
35.300000 -1.587277 0.274910
35.400000 -1.588679 0.274051
35.500000 -1.586219 0.278015
35.600000 -1.580815 0.290965
35.700000 -1.574663 0.297896
35.800000 -1.567014 0.297439
35.900000 -1.560070 0.295554
36.000000 -1.551804 0.281624
36.100000 -1.545138 0.279086
36.200000 -1.543847 0.284852
36.300000 -1.545279 0.292920
36.400000 -1.548581 0.297222
36.500000 -1.558647 0.296979
36.600000 -1.568060 0.303885
36.700000 -1.570708 0.295153
36.800000 -1.572925 0.291705
36.900000 -1.573534 0.284416
37.000000 -1.569577 0.274112
37.100000 -1.567414 0.274507
37.200000 -1.567698 0.274427
37.300000 -1.564753 0.275833
37.400000 -1.560844 0.277612
37.500000 -1.559517 0.267269
37.600000 -1.555040 0.261363
37.700000 -1.549394 0.264268
37.800000 -1.546676 0.263641
37.900000 -1.544026 0.263758
38.000000 -1.537829 0.264601
38.100000 -1.534202 0.269305
38.200000 -1.533424 0.279029
38.300000 -1.530452 0.270530
38.400000 -1.531775 0.263611
38.500000 -1.536881 0.258395
38.600000 -1.540479 0.261921
38.700000 -1.540791 0.265782
38.800000 -1.543160 0.262501
38.900000 -1.538093 0.257183
39.000000 -1.529129 0.254122
39.100000 -1.521393 0.256072
39.200000 -1.516815 0.256111
39.300000 -1.511604 0.253849
39.400000 -1.513310 0.248889
39.500000 -1.519031 0.244883
39.600000 -1.525412 0.245413
39.700000 -1.530653 0.247202
39.800000 -1.537210 0.249036
39.900000 -1.538821 0.248217
40.000000 -1.535226 0.238999
40.100000 -1.529721 0.232799
40.200000 -1.524021 0.232841
40.300000 -1.515275 0.235568
40.400000 -1.509680 0.236387
40.500000 -1.508797 0.232932
40.600000 -1.508012 0.233889
40.700000 -1.506297 0.238043
40.800000 -1.508562 0.234003
40.900000 -1.509980 0.229595
41.000000 -1.513305 0.223758
41.100000 -1.519530 0.221512
41.200000 -1.529073 0.222442
41.300000 -1.535427 0.223552
41.400000 -1.543400 0.224894
41.500000 -1.545399 0.218695
41.600000 -1.545356 0.215584
41.700000 -1.543650 0.215828
41.800000 -1.543786 0.218598
41.900000 -1.540297 0.221154
42.000000 -1.541204 0.216404
42.100000 -1.541492 0.213933
42.200000 -1.540426 0.211912
42.300000 -1.540626 0.211137
42.400000 -1.545122 0.211205
42.500000 -1.547952 0.207490
42.600000 -1.551101 0.205906
42.700000 -1.556553 0.204468
42.800000 -1.559122 0.206071
42.900000 -1.559225 0.209997
43.000000 -1.559248 0.210641
43.100000 -1.561839 0.211217
43.200000 -1.563787 0.211299
43.300000 -1.568097 0.209400
43.400000 -1.571357 0.211145
43.500000 -1.576404 0.209244
43.600000 -1.577459 0.205736
43.700000 -1.576579 0.204621
43.800000 -1.574863 0.204784
43.900000 -1.575936 0.204068
44.000000 -1.573667 0.203398
44.100000 -1.573551 0.205296
44.200000 -1.574967 0.207025
44.300000 -1.575248 0.208918
44.400000 -1.573671 0.206714
44.500000 -1.576281 0.203966
44.600000 -1.580207 0.204178
44.700000 -1.584556 0.203816
44.800000 -1.588935 0.201603
44.900000 -1.594045 0.202211
45.000000 -1.596473 0.199395
45.100000 -1.596777 0.199171
45.200000 -1.596051 0.201014
45.300000 -1.597351 0.203514
45.400000 -1.599333 0.207989
