age(kyr)	mean(permil)	
1196	3.799088491	0.26
1197	3.911087925	0.26
1198	4.010769434	0.26
1199	4.090026168	0.26
1200	4.14747217	0.26
1201	4.196247075	0.26
1202	4.247990943	0.26
1203	4.299689057	0.26
1204	4.336178302	0.26
1205	4.353181604	0.26
1206	4.350807075	0.26
1207	4.332250189	0.26
1208	4.30843566	0.26
1209	4.288040849	0.26
1210	4.272871589	0.26
1211	4.264379434	0.26
1212	4.255199434	0.26
1213	4.230990189	0.26
1214	4.18722717	0.26
1215	4.132238491	0.26
1216	4.07502717	0.26
1217	4.018839057	0.26
1218	3.964288491	0.26
1219	3.916070377	0.26
1220	3.88291	0.26
1221	3.873863271	0.26
1222	3.884293491	0.26
1223	3.902763962	0.26
1224	3.913887547	0.26
1225	3.91377434	0.26
1226	3.904161509	0.26
1227	3.887130189	0.26
1228	3.860930849	0.26
1229	3.817389811	0.26
1230	3.750806916	0.26
1231	3.669325472	0.26
1232	3.591267736	0.26
1233	3.527929434	0.26
1234	3.473546415	0.26
1235	3.422448113	0.26
1236	3.36680434	0.26
1237	3.310688679	0.26
1238	3.264622642	0.26
1239	3.234613962	0.26
1240	3.219844151	0.26
1241	3.212048411	0.26
1242	3.208310755	0.26
1243	3.204676792	0.26
1244	3.198451792	0.26
1245	3.19094717	0.26
1246	3.182215	0.26
1247	3.17346066	0.26
1248	3.171470943	0.26
1249	3.18795066	0.26
1250	3.234222642	0.26
1251	3.314466542	0.26
1252	3.427815094	0.26
1253	3.570592453	0.26
1254	3.73296566	0.26
1255	3.89410717	0.26
1256	4.028714717	0.26
1257	4.126163019	0.26
1258	4.197677736	0.26
1259	4.249541887	0.26
1260	4.279393962	0.26
1261	4.274821132	0.26
1262	4.242274953	0.26
1263	4.196174151	0.26
1264	4.140478585	0.26
1265	4.080853868	0.26
1266	4.032039906	0.26
1267	4.002506698	0.26
1268	3.985405283	0.26
1269	3.964174528	0.26
1270	3.93272066	0.26
1271	3.895676355	0.26
1272	3.85491	0.26
1273	3.800900566	0.26
1274	3.744966792	0.26
1275	3.69309434	0.26
1276	3.650680943	0.26
1277	3.609666604	0.26
1278	3.568953396	0.26
1279	3.538889245	0.26
1280	3.522404717	0.26
1281	3.512009245	0.26
1282	3.502346636	0.26
1283	3.496051321	0.26
1284	3.499420283	0.26
1285	3.517688868	0.26
1286	3.555174057	0.26
1287	3.617928302	0.26
1288	3.702269811	0.26
1289	3.787916038	0.26
1290	3.865783962	0.26
1291	3.948062642	0.26
1292	4.036512925	0.26
1293	4.102212523	0.26
1294	4.119924906	0.26
1295	4.095479623	0.26
1296	4.061244528	0.26
1297	4.036933208	0.26
1298	4.016095094	0.26
1299	3.989690189	0.26
1300	3.957272453	0.26
1301	3.921771321	0.26
1302	3.887050654	0.26
1303	3.852895566	0.26
1304	3.817108868	0.26
1305	3.787948396	0.26
1306	3.772273868	0.26
1307	3.756151226	0.26
1308	3.726822358	0.26
1309	3.685463113	0.26
1310	3.641099057	0.26
1311	3.596671981	0.26
1312	3.557837075	0.26
1313	3.530035701	0.26
1314	3.508172075	0.26
1315	3.48593283	0.26
1316	3.46252717	0.26
1317	3.441686792	0.26
1318	3.428226792	0.26
1319	3.427057358	0.26
1320	3.443826981	0.26
1321	3.479117547	0.26
1322	3.519719245	0.26
1323	3.564155327	0.26
1324	3.612811038	0.26
1325	3.657914811	0.26
1326	3.69618934	0.26
1327	3.740569528	0.26
1328	3.791558774	0.26
1329	3.842198019	0.26
1330	3.882953019	0.26
1331	3.910427547	0.26
1332	3.929912736	0.26
1333	3.946278037	0.26
1334	3.960517925	0.26
1335	3.969993396	0.26
1336	3.974213962	0.26
1337	3.979154717	0.26
1338	3.988011887	0.26
1339	4.001788491	0.26
1340	4.015676226	0.26
1341	4.028370189	0.26
1342	4.034624906	0.26
1343	4.031699057	0.26
1344	4.017572617	0.26
1345	3.988013774	0.26
1346	3.942641981	0.26
1347	3.883656604	0.26
1348	3.814340755	0.26
1349	3.742914151	0.26
1350	3.675578302	0.26
1351	3.608894717	0.26
1352	3.536907264	0.26
1353	3.46107434	0.26
1354	3.390533458	0.26
1355	3.332618868	0.26
1356	3.283773019	0.26
1357	3.24993566	0.26
1358	3.229534717	0.26
1359	3.21778	0.26
1360	3.212161053	0.26
1361	3.211386316	0.26
1362	3.215564149	0.26
1363	3.229208632	0.26
1364	3.253346737	0.26
1365	3.290609579	0.26
1366	3.343568737	0.26
1367	3.408408316	0.26
1368	3.481678	0.26
1369	3.563488211	0.26
1370	3.644228511	0.26
1371	3.700609053	0.26
1372	3.734944316	0.26
1373	3.763569158	0.26
1374	3.796912737	0.26
1375	3.830353579	0.26
1376	3.876868737	0.26
1377	3.919225368	0.26
1378	3.953644	0.26
1379	3.976354316	0.26
1380	3.986503158	0.26
1381	3.998648421	0.26
1382	4.022823053	0.26
1383	4.052343474	0.26
1384	4.072176737	0.26
1385	4.069161277	0.26
1386	3.986658737	0.26
1387	3.820541158	0.26
1388	3.721186211	0.26
1389	3.689921684	0.26
1390	3.669242526	0.26
1391	3.654548526	0.26
1392	3.639783053	0.26
1393	3.613577553	0.26
1394	3.580739474	0.26
1395	3.551678421	0.26
1396	3.52704	0.26
1397	3.501898421	0.26
1398	3.480626842	0.26
1399	3.463190426	0.26
1400	3.450470737	0.26
1401	3.442336842	0.26
1402	3.434279368	0.26
1403	3.431583368	0.26
1404	3.435974105	0.26
1405	3.448862105	0.26
1406	3.471311263	0.26
1407	3.508577234	0.26
1408	3.557396105	0.26
1409	3.607429684	0.26
1410	3.655541684	0.26
1411	3.705660842	0.26
1412	3.756743579	0.26
1413	3.796724737	0.26
1414	3.824426632	0.26
1415	3.842631158	0.26
1416	3.850443789	0.26
1417	3.845555368	0.26
1418	3.822518526	0.26
1419	3.793053579	0.26
1420	3.773956737	0.26
1421	3.766507474	0.26
1422	3.799882128	0.26
1423	3.847848632	0.26
1424	3.814500737	0.26
1425	3.761332316	0.26
1426	3.709838842	0.26
1427	3.653146211	0.26
1428	3.586660947	0.26
1429	3.509016316	0.26
1430	3.435127128	0.26
1431	3.373675789	0.26
1432	3.322454737	0.26
1433	3.28559	0.26
1434	3.263257368	0.26
1435	3.248803684	0.26
1436	3.236969255	0.26
1437	3.230134105	0.26
1438	3.225296	0.26
1439	3.222442421	0.26
1440	3.217650842	0.26
1441	3.212628632	0.26
1442	3.210501895	0.26
1443	3.210025158	0.26
1444	3.209440638	0.26
1445	3.208079789	0.26
1446	3.202949368	0.26
1447	3.197751053	0.26
1448	3.202229684	0.26
1449	3.233462947	0.26
1450	3.315484316	0.26
1451	3.450131053	0.26
1452	3.624266316	0.26
1453	3.808976211	0.26
1454	3.970544632	0.26
1455	4.084903158	0.26
1456	4.153777263	0.26
1457	4.180244632	0.26
1458	4.175702421	0.26
1459	4.155204894	0.26
1460	4.125788947	0.26
1461	4.083233789	0.26
1462	4.022487895	0.26
1463	3.946790632	0.26
1464	3.868185158	0.26
1465	3.791294105	0.26
1466	3.714918526	0.26
1467	3.646590319	0.26
1468	3.586635263	0.26
1469	3.531676316	0.26
1470	3.4793	0.26
1471	3.43589	0.26
1472	3.399417368	0.26
1473	3.366576383	0.26
1474	3.338657789	0.26
1475	3.316489158	0.26
1476	3.303002211	0.26
1477	3.301630842	0.26
1478	3.307925474	0.26
1479	3.308882947	0.26
1480	3.301190632	0.26
1481	3.290843191	0.26
1482	3.280116526	0.26
1483	3.272159684	0.26
1484	3.269152526	0.26
1485	3.268421474	0.26
1486	3.276738526	0.26
1487	3.320956421	0.26
1488	3.420599368	0.26
1489	3.565641684	0.26
1490	3.726712842	0.26
1491	3.881300316	0.26
1492	4.011363895	0.26
1493	4.107654211	0.26
1494	4.167873158	0.26
1495	4.197547368	0.26
1496	4.20491383	0.26
1497	4.197010842	0.26
1498	4.180143684	0.26
1499	4.158790421	0.26
1500	4.136220737	0.26
1501	4.110002632	0.26
1502	4.072709474	0.26
1503	4.020842737	0.26
1504	3.960124362	0.26
1505	3.900033684	0.26
1506	3.841253684	0.26
1507	3.78139	0.26
1508	3.726652105	0.26
1509	3.685735263	0.26
1510	3.656992021	0.26
1511	3.635300632	0.26
1512	3.619794105	0.26
1513	3.608465053	0.26
1514	3.602333263	0.26
1515	3.603049579	0.26
1516	3.606558421	0.26
1517	3.611446	0.26
1518	3.62391766	0.26
1519	3.647274	0.26
1520	3.684911895	0.26
1521	3.738460526	0.26
1522	3.805113158	0.26
1523	3.874851895	0.26
1524	3.942668737	0.26
1525	4.014803895	0.26
1526	4.094286211	0.26
1527	4.170066	0.26
1528	4.230107684	0.26
1529	4.265661158	0.26
1530	4.283521895	0.26
1531	4.291857474	0.26
1532	4.295722105	0.26
1533	4.295034681	0.26
1534	4.282596947	0.26
1535	4.252055474	0.26
1536	4.204726	0.26
1537	4.145840842	0.26
1538	4.081046316	0.26
1539	4.017702842	0.26
1540	3.964043684	0.26
1541	3.917497021	0.26
1542	3.876071579	0.26
1543	3.839836842	0.26
1544	3.81132	0.26
1545	3.790055789	0.26
1546	3.771414737	0.26
1547	3.753520745	0.26
1548	3.738757368	0.26
1549	3.72777	0.26
1550	3.715264211	0.26
1551	3.702151789	0.26
1552	3.690091789	0.26
1553	3.677748421	0.26
1554	3.663334421	0.26
1555	3.645882766	0.26
1556	3.627	0.26
1557	3.608465474	0.26
1558	3.592130737	0.26
1559	3.578304947	0.26
1560	3.569980105	0.26
1561	3.569790947	0.26
1562	3.579350526	0.26
1563	3.599735368	0.26
1564	3.629745474	0.26
1565	3.671058632	0.26
1566	3.726291474	0.26
1567	3.793956947	0.26
1568	3.870159474	0.26
1569	3.947607789	0.26
1570	4.01670383	0.26
1571	4.070464	0.26
1572	4.106176947	0.26
1573	4.121038632	0.26
1574	4.113230105	0.26
1575	4.086019158	0.26
1576	4.047082316	0.26
1577	4.002909895	0.26
1578	3.956545319	0.26
1579	3.912945263	0.26
1580	3.874212632	0.26
1581	3.83856	0.26
1582	3.805813158	0.26
1583	3.780867895	0.26
1584	3.761743723	0.26
1585	3.746315684	0.26
1586	3.735746211	0.26
1587	3.730932	0.26
1588	3.729048632	0.26
1589	3.726292	0.26
1590	3.720739158	0.26
1591	3.710755789	0.26
1592	3.697764255	0.26
1593	3.683323053	0.26
1594	3.666588	0.26
1595	3.647328211	0.26
1596	3.625761368	0.26
1597	3.601695684	0.26
1598	3.574369789	0.26
1599	3.547610211	0.26
1600	3.518546211	0.26
1601	3.488544526	0.26
1602	3.460827263	0.26
1603	3.439704316	0.26
1604	3.423929263	0.26
1605	3.414618526	0.26
1606	3.414875263	0.26
1607	3.425377021	0.26
1608	3.442569684	0.26
1609	3.465701263	0.26
1610	3.493570316	0.26
1611	3.523388316	0.26
1612	3.553093158	0.26
1613	3.579763263	0.26
1614	3.602439684	0.26
1615	3.62359	0.26
1616	3.644071053	0.26
1617	3.662215263	0.26
1618	3.67583	0.26
1619	3.688627895	0.26
1620	3.699687895	0.26
1621	3.705723617	0.26
1622	3.707246526	0.26
1623	3.701812842	0.26
1624	3.690774211	0.26
1625	3.677495053	0.26
1626	3.665213579	0.26
1627	3.653538842	0.26
1628	3.645186526	0.26
1629	3.643684255	0.26
1630	3.648713579	0.26
1631	3.657228737	0.26
1632	3.663791684	0.26
1633	3.664073053	0.26
1634	3.651289684	0.26
1635	3.627659895	0.26
1636	3.598554211	0.26
1637	3.564455053	0.26
1638	3.532126211	0.26
1639	3.506673579	0.26
1640	3.490597368	0.26
1641	3.486293684	0.26
1642	3.492658737	0.26
1643	3.508064526	0.26
1644	3.53112234	0.26
1645	3.562440316	0.26
1646	3.611472947	0.26
1647	3.679406842	0.26
1648	3.756542737	0.26
1649	3.838015579	0.26
1650	3.919400947	0.26
1651	3.989920947	0.26
1652	4.048578191	0.26
1653	4.096928421	0.26
1654	4.131215789	0.26
1655	4.14528	0.26
1656	4.142834455	0.26
1657	4.1304845	0.26
1658	4.113902475	0.26
1659	4.095988218	0.26
1660	4.080122079	0.26
1661	4.0690932	0.26
1662	4.059221584	0.26
1663	4.044611683	0.26
1664	4.021355446	0.26
1665	3.991976	0.26
1666	3.954807822	0.26
1667	3.908267624	0.26
1668	3.8570995	0.26
1669	3.809140396	0.26
1670	3.762071089	0.26
1671	3.717810495	0.26
1672	3.679012	0.26
1673	3.647726337	0.26
1674	3.62392505	0.26
1675	3.602763663	0.26
1676	3.582681	0.26
1677	3.567116733	0.26
1678	3.554603465	0.26
1679	3.54591	0.26
1680	3.5399108	0.26
1681	3.536368812	0.26
1682	3.535403069	0.26
1683	3.539214	0.26
1684	3.547358317	0.26
1685	3.558829505	0.26
1686	3.574049505	0.26
1687	3.5920874	0.26
1688	3.61081703	0.26
1689	3.630422178	0.26
1690	3.652105347	0.26
1691	3.671516	0.26
1692	3.689429505	0.26
1693	3.706991386	0.26
1694	3.730862	0.26
1695	3.764801584	0.26
1696	3.810697723	0.26
1697	3.869060099	0.26
1698	3.9329216	0.26
1699	3.986196139	0.26
1700	4.019417921	0.26
1701	4.034083366	0.26
1702	4.0333846	0.26
1703	4.020478317	0.26
1704	3.995842178	0.26
1705	3.9616568	0.26
1706	3.92267099	0.26
1707	3.881300198	0.26
1708	3.8411	0.26
1709	3.8039178	0.26
1710	3.768115347	0.26
1711	3.732143069	0.26
1712	3.693739208	0.26
1713	3.6529828	0.26
1714	3.613252673	0.26
1715	3.579208812	0.26
1716	3.55577198	0.26
1717	3.547803	0.26
1718	3.55763198	0.26
1719	3.582500495	0.26
1720	3.6185227	0.26
1721	3.660185347	0.26
1722	3.698845149	0.26
1723	3.726230297	0.26
1724	3.73899	0.26
1725	3.738883366	0.26
1726	3.730139109	0.26
1727	3.71433	0.26
1728	3.6919377	0.26
1729	3.667173861	0.26
1730	3.644640594	0.26
1731	3.62661	0.26
1732	3.61389703	0.26
1733	3.608706535	0.26
1734	3.614956139	0.26
1735	3.6351196	0.26
1736	3.668902871	0.26
1737	3.709863267	0.26
1738	3.750211782	0.26
1739	3.7878831	0.26
1740	3.822434356	0.26
1741	3.85220802	0.26
1742	3.875348812	0.26
1743	3.8891856	0.26
1744	3.893251089	0.26
1745	3.888694158	0.26
1746	3.8756256	0.26
1747	3.855062475	0.26
1748	3.830435842	0.26
1749	3.805639406	0.26
1750	3.7818935	0.26
1751	3.757605842	0.26
1752	3.733308812	0.26
1753	3.709894356	0.26
1754	3.686482	0.26
1755	3.661783861	0.26
1756	3.636659604	0.26
1757	3.6106038	0.26
1758	3.582933564	0.26
1759	3.55453505	0.26
1760	3.526398812	0.26
1761	3.4978076	0.26
1762	3.470284554	0.26
1763	3.448027525	0.26
1764	3.429149505	0.26
1765	3.414466	0.26
1766	3.40572802	0.26
1767	3.404151584	0.26
1768	3.409598	0.26
1769	3.419371584	0.26
1770	3.430109307	0.26
1771	3.442230495	0.26
1772	3.4574065	0.26
1773	3.473972178	0.26
1774	3.490907426	0.26
1775	3.508465644	0.26
1776	3.5277852	0.26
1777	3.545858119	0.26
1778	3.565182772	0.26
1779	3.587995644	0.26
1780	3.6114901	0.26
1781	3.636526337	0.26
1782	3.663076832	0.26
1783	3.6900918	0.26
1784	3.717845149	0.26
1785	3.745987327	0.26
1786	3.777671485	0.26
1787	3.8138452	0.26
1788	3.853539109	0.26
1789	3.894753465	0.26
1790	3.935414455	0.26
1791	3.9700322	0.26
1792	3.994322574	0.26
1793	4.02558	0.26
1794	4.006977688	0.26
1795	3.982329381	0.26
1796	3.958615329	0.26
1797	3.927671768	0.26
1798	3.887873186	0.26
1799	3.841139388	0.26
1800	3.787376107	0.26
1801	3.726615866	0.26
1802	3.664004662	0.26
1803	3.608796539	0.26
1804	3.567585808	0.26
1805	3.543300245	0.26
1806	3.531900996	0.26
1807	3.526405541	0.26
1808	3.524882011	0.26
1809	3.524496017	0.26
1810	3.525803908	0.26
1811	3.530614814	0.26
1812	3.539986758	0.26
1813	3.553842209	0.26
1814	3.571013782	0.26
1815	3.589755503	0.26
1816	3.609945649	0.26
1817	3.629071286	0.26
1818	3.646861734	0.26
1819	3.660397165	0.26
1820	3.665716695	0.26
1821	3.66270621	0.26
1822	3.653024326	0.26
1823	3.638338047	0.26
1824	3.620704079	0.26
1825	3.60241913	0.26
1826	3.585264836	0.26
1827	3.570645332	0.26
1828	3.560106255	0.26
1829	3.554364348	0.26
1830	3.554377178	0.26
1831	3.562244624	0.26
1832	3.578969536	0.26
1833	3.601752628	0.26
1834	3.628737442	0.26
1835	3.657988219	0.26
1836	3.686624084	0.26
1837	3.71295443	0.26
1838	3.736966655	0.26
1839	3.757446839	0.26
1840	3.773279968	0.26
1841	3.782812542	0.26
1842	3.784139832	0.26
1843	3.777139572	0.26
1844	3.765789051	0.26
1845	3.751278116	0.26
1846	3.731654846	0.26
1847	3.707156219	0.26
1848	3.679941164	0.26
1849	3.651991131	0.26
1850	3.623928275	0.26
1851	3.595335729	0.26
1852	3.567615179	0.26
1853	3.539163182	0.26
1854	3.510929732	0.26
1855	3.488031396	0.26
1856	3.476164626	0.26
1857	3.476643647	0.26
1858	3.487749322	0.26
1859	3.506928959	0.26
1860	3.532989288	0.26
1861	3.565748281	0.26
1862	3.603866693	0.26
1863	3.643612796	0.26
1864	3.680096509	0.26
1865	3.712955981	0.26
1866	3.745940329	0.26
1867	3.779881576	0.26
1868	3.816148637	0.26
1869	3.853259409	0.26
1870	3.886494038	0.26
1871	3.911988551	0.26
1872	3.928201353	0.26
1873	3.934159793	0.26
1874	3.928887632	0.26
1875	3.913858556	0.26
1876	3.892972355	0.26
1877	3.868504407	0.26
1878	3.845233796	0.26
1879	3.822064721	0.26
1880	3.799695249	0.26
1881	3.779209417	0.26
1882	3.758720627	0.26
1883	3.736743811	0.26
1884	3.71220873	0.26
1885	3.684234758	0.26
1886	3.653518585	0.26
1887	3.622711495	0.26
1888	3.594237727	0.26
1889	3.572568788	0.26
1890	3.557283675	0.26
1891	3.546665961	0.26
1892	3.53778473	0.26
1893	3.528383501	0.26
1894	3.514597112	0.26
1895	3.496947496	0.26
1896	3.47959427	0.26
1897	3.466156364	0.26
1898	3.459014471	0.26
1899	3.460708362	0.26
1900	3.4688927	0.26
1901	3.479317033	0.26
1902	3.498803399	0.26
1903	3.533186877	0.26
1904	3.579265579	0.26
1905	3.631386923	0.26
1906	3.684491393	0.26
1907	3.739281222	0.26
1908	3.797989795	0.26
1909	3.85899968	0.26
1910	3.915729258	0.26
1911	3.959468972	0.26
1912	3.987324189	0.26
1913	4.00714118	0.26
1914	4.0264535	0.26
1915	3.995750707	0.26
1916	3.959848283	0.26
1917	3.9254366	0.26
1918	3.896720909	0.26
1919	3.8701048	0.26
1920	3.844022424	0.26
1921	3.818939596	0.26
1922	3.7909586	0.26
1923	3.760534848	0.26
1924	3.73438697	0.26
1925	3.7100244	0.26
1926	3.69035	0.26
1927	3.6719495	0.26
1928	3.649297273	0.26
1929	3.624914444	0.26
1930	3.6033826	0.26
1931	3.581955556	0.26
1932	3.56017697	0.26
1933	3.5414533	0.26
1934	3.526031919	0.26
1935	3.511766	0.26
1936	3.497272727	0.26
1937	3.479881818	0.26
1938	3.4599688	0.26
1939	3.441218586	0.26
1940	3.422714545	0.26
1941	3.403739	0.26
1942	3.385680909	0.26
1943	3.3694448	0.26
1944	3.353779192	0.26
1945	3.340205455	0.26
1946	3.3296175	0.26
1947	3.327916667	0.26
1948	3.339227778	0.26
1949	3.3666341	0.26
1950	3.413380909	0.26
1951	3.485154	0.26
1952	3.572916667	0.26
1953	3.662111111	0.26
1954	3.74028	0.26
1955	3.802059596	0.26
1956	3.84727	0.26
1957	3.87571	0.26
1958	3.889392424	0.26
1959	3.892150707	0.26
1960	3.886896	0.26
1961	3.874830303	0.26
1962	3.8575881	0.26
1963	3.838018283	0.26
1964	3.818758889	0.26
1965	3.8002008	0.26
1966	3.78035	0.26
1967	3.759688384	0.26
1968	3.740801	0.26
1969	3.723589798	0.26
1970	3.7063808	0.26
1971	3.689607273	0.26
1972	3.673224141	0.26
1973	3.6578774	0.26
1974	3.64504101	0.26
1975	3.633877576	0.26
1976	3.62226	0.26
1977	3.608249798	0.26
1978	3.590457	0.26
1979	3.568225859	0.26
1980	3.542193333	0.26
1981	3.513134	0.26
1982	3.481168687	0.26
1983	3.448508889	0.26
1984	3.4175985	0.26
1985	3.388	0.26
1986	3.3586302	0.26
1987	3.330545556	0.26
1988	3.305783434	0.26
1989	3.287904	0.26
1990	3.280110909	0.26
1991	3.286101616	0.26
1992	3.304535	0.26
1993	3.326715859	0.26
1994	3.3459997	0.26
1995	3.363116667	0.26
1996	3.380624545	0.26
1997	3.400406	0.26
1998	3.424647879	0.26
1999	3.457123636	0.26
2000	3.5019925	0.26
2001	3.559493333	0.26
2002	3.621375758	0.26
2003	3.6782563	0.26
2004	3.729178182	0.26
2005	3.7723342	0.26
2006	3.803538081	0.26
2007	3.818841313	0.26
2008	3.817388	0.26
2009	3.806112727	0.26
2010	3.790657172	0.26
2011	3.770587	0.26
2012	3.745680505	0.26
2013	3.7203042	0.26
2014	3.695137273	0.26
2015	3.669698485	0.26
2016	3.644901	0.26
2017	3.620168788	0.26
2018	3.598063333	0.26
2019	3.5805066	0.26
2020	3.566381414	0.26
2021	3.551008	0.26
2022	3.529041616	0.26
2023	3.495102424	0.26
2024	3.451467	0.26
2025	3.404388182	0.26
2026	3.360564848	0.26
2027	3.3263784	0.26
2028	3.299864545	0.26
2029	3.279821	0.26
2030	3.267262929	0.26
2031	3.264512626	0.26
2032	3.2708	0.26
2033	3.281369697	0.26
2034	3.294850505	0.26
2035	3.3106379	0.26
2036	3.33398	0.26
2037	3.3652966	0.26
2038	3.401630606	0.26
2039	3.439384242	0.26
2040	3.477136	0.26
2041	3.51368202	0.26
2042	3.548510909	0.26
2043	3.579566	0.26
2044	3.606762424	0.26
2045	3.632246364	0.26
2046	3.6543332	0.26
2047	3.672788182	0.26
2048	3.687353	0.26
2049	3.697924242	0.26
2050	3.703576566	0.26
2051	3.7024278	0.26
2052	3.697994545	0.26
2053	3.689624444	0.26
2054	3.6773648	0.26
2055	3.662071616	0.26
2056	3.643878	0.26
2057	3.621957273	0.26
2058	3.59724596	0.26
2059	3.5735104	0.26
2060	3.55467899	0.26
2061	3.542361515	0.26
2062	3.5342428	0.26
2063	3.530598687	0.26
2064	3.531076	0.26
2065	3.536061515	0.26
2066	3.548061515	0.26
2067	3.5710213	0.26
2068	3.602103535	0.26
2069	3.639217677	0.26
2070	3.6767348	0.26
2071	3.71413	0.26
2072	3.75078	0.26
2073	3.78942101	0.26
2074	3.833692	0.26
2075	3.886410101	0.26
2076	3.944800606	0.26
2077	3.999228	0.26
2078	4.04711899	0.26
2079	4.0872375	0.26
2080	4.120176566	0.26
2081	4.144522424	0.26
2082	4.1555198	0.26
2083	4.151749899	0.26
2084	4.135148687	0.26
2085	4.1098148	0.26
2086	4.082234545	0.26
2087	4.051716364	0.26
2088	4.0224217	0.26
2089	3.996368889	0.26
2090	3.97507	0.26
2091	3.961097273	0.26
2092	3.952607879	0.26
2093	3.942002	0.26
2094	3.926718384	0.26
2095	3.906987576	0.26
2096	3.8816316	0.26
2097	3.852169798	0.26
2098	3.8214885	0.26
2099	3.790670808	0.26
2100	3.76091	0.26
2101	3.7333572	0.26
2102	3.707438485	0.26
2103	3.682616263	0.26
2104	3.6592975	0.26
2105	3.63846697	0.26
2106	3.6204448	0.26
2107	3.606838889	0.26
2108	3.593285354	0.26
2109	3.57933	0.26
2110	3.565915152	0.26
2111	3.554942929	0.26
2112	3.5490554	0.26
2113	3.546574949	0.26
2114	3.5468011	0.26
2115	3.548668182	0.26
2116	3.549556263	0.26
2117	3.5476515	0.26
2118	3.544263232	0.26
2119	3.541752121	0.26
2120	3.539129	0.26
2121	3.534418081	0.26
2122	3.5280276	0.26
2123	3.520146061	0.26
2124	3.51245	0.26
2125	3.5140916	0.26
2126	3.52931	0.26
2127	3.553650909	0.26
2128	3.585206	0.26
2129	3.619873636	0.26
2130	3.652824949	0.26
2131	3.6696768	0.26
2132	3.664899697	0.26
2133	3.6379548	0.26
2134	3.584735455	0.26
2135	3.514826364	0.26
2136	3.4404458	0.26
2137	3.371436768	0.26
2138	3.318001818	0.26
2139	3.283529	0.26
2140	3.261591717	0.26
2141	3.2482192	0.26
2142	3.2436	0.26
2143	3.250272727	0.26
2144	3.2690516	0.26
2145	3.299972323	0.26
2146	3.343922727	0.26
2147	3.3997924	0.26
2148	3.47075697	0.26
2149	3.5611632	0.26
2150	3.668429394	0.26
2151	3.782469798	0.26
2152	3.8903555	0.26
2153	3.985245152	0.26
2154	4.060139697	0.26
2155	4.1130177	0.26
2156	4.147289798	0.26
2157	4.1609238	0.26
2158	4.153296364	0.26
2159	4.128871111	0.26
2160	4.0967536	0.26
2161	4.062287273	0.26
2162	4.028580606	0.26
2163	3.9977172	0.26
2164	3.965323232	0.26
2165	3.9276418	0.26
2166	3.884956263	0.26
2167	3.840057273	0.26
2168	3.7978526	0.26
2169	3.762427475	0.26
2170	3.734791515	0.26
2171	3.7118608	0.26
2172	3.691924545	0.26
2173	3.671684141	0.26
2174	3.6433315	0.26
2175	3.604441111	0.26
2176	3.560574	0.26
2177	3.515663333	0.26
2178	3.471912323	0.26
2179	3.430308	0.26
2180	3.396194949	0.26
2181	3.369980303	0.26
2182	3.354539	0.26
2183	3.349747273	0.26
2184	3.353551	0.26
2185	3.364055152	0.26
2186	3.381332727	0.26
2187	3.4039232	0.26
2188	3.43068202	0.26
2189	3.458490505	0.26
2190	3.4868375	0.26
2191	3.515379091	0.26
2192	3.5432592	0.26
2193	3.57346	0.26
2194	3.606272222	0.26
2195	3.6371192	0.26
2196	3.661910606	0.26
2197	3.682623939	0.26
2198	3.70475	0.26
2199	3.726508283	0.26
2200	3.7437463	0.26
2201	3.758930909	0.26
2202	3.768958586	0.26
2203	3.7728538	0.26
2204	3.770791313	0.26
2205	3.76358	0.26
2206	3.7466975	0.26
2207	3.719245657	0.26
2208	3.6853036	0.26
2209	3.648593939	0.26
2210	3.612503939	0.26
2211	3.5792908	0.26
2212	3.549838889	0.26
2213	3.526566566	0.26
2214	3.511476	0.26
2215	3.50165	0.26
2216	3.494191818	0.26
2217	3.4862408	0.26
2218	3.477970505	0.26
2219	3.4687224	0.26
2220	3.45722	0.26
2221	3.442742828	0.26
2222	3.4254135	0.26
2223	3.405837475	0.26
2224	3.384977273	0.26
2225	3.3672295	0.26
2226	3.354726869	0.26
2227	3.3472476	0.26
2228	3.34357596	0.26
2229	3.34237	0.26
2230	3.34247	0.26
2231	3.343991212	0.26
2232	3.3471792	0.26
2233	3.353754646	0.26
2234	3.3661432	0.26
2235	3.38383697	0.26
2236	3.410313333	0.26
2237	3.4513935	0.26
2238	3.507334848	0.26
2239	3.576129394	0.26
2240	3.6458609	0.26
2241	3.707100808	0.26
2242	3.7590272	0.26
2243	3.798897071	0.26
2244	3.82361	0.26
2245	3.835617	0.26
2246	3.834785051	0.26
2247	3.825436667	0.26
2248	3.8120708	0.26
2249	3.792085152	0.26
2250	3.765318586	0.26
2251	3.7330394	0.26
2252	3.69603202	0.26
2253	3.6539945	0.26
2254	3.606694848	0.26
2255	3.548302525	0.26
2256	3.4822896	0.26
2257	3.413165354	0.26
2258	3.351197273	0.26
2259	3.3015261	0.26
2260	3.261462929	0.26
2261	3.230878	0.26
2262	3.209994848	0.26
2263	3.19688697	0.26
2264	3.1915354	0.26
2265	3.195946667	0.26
2266	3.208493737	0.26
2267	3.2280072	0.26
2268	3.25287303	0.26
2269	3.2789625	0.26
2270	3.305751111	0.26
2271	3.333442424	0.26
2272	3.3636038	0.26
2273	3.40207	0.26
2274	3.452838889	0.26
2275	3.5112501	0.26
2276	3.570690202	0.26
2277	3.62894	0.26
2278	3.685451818	0.26
