age(kyr)	mean(permil)	
289	4.0609345	0.22
290	4.0887125	0.22
291	4.10092	0.22
292	4.110705	0.22
293	4.1186225	0.22
294	4.119424	0.22
295	4.1157155	0.22
296	4.1062185	0.22
297	4.093652	0.22
298	4.081785	0.22
299	4.0718025	0.22
300	4.0638075	0.22
301	4.0548295	0.22
302	4.041416	0.22
303	4.016509	0.22
304	3.9786165	0.22
305	3.934397	0.22
306	3.8901635	0.22
307	3.8528095	0.22
308	3.8184755	0.22
309	3.778035	0.22
310	3.734109	0.22
311	3.693805	0.22
312	3.6594	0.22
313	3.634513	0.22
314	3.616681	0.22
315	3.605239	0.22
316	3.593044	0.22
317	3.578263	0.22
318	3.5622235	0.22
319	3.54964	0.22
320	3.541253	0.22
321	3.519343	0.22
322	3.45791	0.22
323	3.379611	0.22
324	3.297683	0.22
325	3.225009	0.22
326	3.178129	0.22
327	3.157019	0.22
328	3.158699	0.22
329	3.166463	0.22
330	3.215689	0.22
331	3.336524	0.22
332	3.510742	0.22
333	3.68417	0.22
334	3.83726	0.22
335	3.983405	0.22
336	4.116735	0.22
337	4.220322	0.22
338	4.30508	0.22
339	4.387576	0.22
340	4.464688	0.22
341	4.521329	0.22
342	4.547786	0.22
343	4.551889	0.22
344	4.539149	0.22
345	4.516526	0.22
346	4.489749	0.22
347	4.455148	0.22
348	4.416505	0.22
349	4.372555	0.22
350	4.337453	0.22
351	4.320882	0.22
352	4.321512	0.22
353	4.329757	0.22
354	4.339898	0.22
355	4.346527	0.22
356	4.349817	0.22
357	4.346372	0.22
358	4.335547	0.22
359	4.318594	0.22
360	4.302316	0.22
361	4.287639	0.22
362	4.267678	0.22
363	4.245147	0.22
364	4.217404	0.22
365	4.188353	0.22
366	4.164325	0.22
367	4.145445	0.22
368	4.131795	0.22
369	4.125089	0.22
370	4.111949	0.22
371	4.09605	0.22
372	4.084244	0.22
373	4.075598	0.22
374	4.067637	0.22
375	4.059819	0.22
376	4.042497	0.22
377	4.011907	0.22
378	3.983412	0.22
379	3.964676	0.22
380	3.950369	0.22
381	3.936028	0.22
382	3.918227	0.22
383	3.900107	0.22
384	3.886043	0.22
385	3.867505	0.22
386	3.848817	0.22
387	3.827873	0.22
388	3.805183	0.22
389	3.780528	0.22
390	3.754239	0.22
391	3.730528	0.22
392	3.70799	0.22
393	3.690705	0.22
394	3.674696	0.22
395	3.659527	0.22
396	3.627075	0.22
397	3.572602	0.22
398	3.494605	0.22
399	3.397085	0.22
400	3.293139	0.22
401	3.199894	0.22
402	3.123016	0.22
403	3.07684	0.22
404	3.053399	0.22
405	3.04738	0.22
406	3.054754	0.22
407	3.077233	0.22
408	3.11521	0.22
409	3.171755	0.22
410	3.24406	0.22
411	3.324349	0.22
412	3.407426	0.22
413	3.487224	0.22
414	3.558492	0.22
415	3.623416	0.22
416	3.684814	0.22
417	3.744149	0.22
418	3.800896	0.22
419	3.855018	0.22
420	3.898808	0.22
421	3.932294	0.22
422	3.962765	0.22
423	4.00413	0.22
424	4.063217	0.22
425	4.145799	0.22
426	4.250223	0.22
427	4.368675	0.22
428	4.493462	0.22
429	4.618365	0.22
430	4.722579	0.22
431	4.790093	0.22
432	4.82312	0.22
433	4.8388	0.22
434	4.845378	0.22
435	4.837889	0.22
436	4.821417	0.22
437	4.795346	0.22
438	4.765431	0.22
439	4.739393	0.22
440	4.716382	0.22
441	4.690758	0.22
442	4.66056	0.22
443	4.625432	0.22
444	4.580995	0.22
445	4.536917	0.22
446	4.492692	0.22
447	4.454761	0.22
448	4.423191	0.22
449	4.39934	0.22
450	4.377735	0.22
451	4.361223	0.22
452	4.351893	0.22
453	4.348653	0.22
454	4.347398	0.22
455	4.346286	0.22
456	4.342503	0.22
457	4.335061	0.22
458	4.326535	0.22
459	4.319791	0.22
460	4.315691	0.22
461	4.318107	0.22
462	4.314834	0.22
463	4.305645	0.22
464	4.290844	0.22
465	4.269536	0.22
466	4.251064	0.22
467	4.238938	0.22
468	4.230326	0.22
469	4.225507	0.22
470	4.225577	0.22
