depth(m)	initial_age(kiloyear)
21.41	121.72
21.42	121.82
21.42	121.82
21.43	121.91
21.43	121.91
21.45	122.02
21.46	122.12
21.46	122.12
21.47	122.21
21.47	122.21
21.49	122.31
21.5	122.41
21.51	122.51
21.51	122.51
21.51	122.51
21.51	122.51
21.53	122.61
21.54	122.71
21.55	122.81
21.55	122.81
21.55	122.81
21.55	122.81
21.57	122.9
21.58	123.0
21.59	123.1
21.59	123.1
21.59	123.1
21.59	123.1
21.61	123.2
21.62	123.3
21.63	123.4
21.63	123.4
21.63	123.4
21.63	123.4
21.64	123.5
21.66	123.59
21.67	123.69
21.67	123.69
21.67	123.69
21.68	123.8
21.7	123.95
21.71	124.14
21.71	124.14
21.72	124.31
21.72	124.31
21.73	124.48
21.74	124.63
21.74	124.63
21.74	124.63
21.75	124.79
21.76	124.96
21.77	125.13
21.77	125.13
21.79	125.28
21.8	125.45
21.81	125.61
21.81	125.61
21.81	125.61
21.82	125.78
21.83	125.93
21.84	126.1
21.84	126.1
21.84	126.1
21.85	126.26
21.86	126.43
21.87	126.58
21.88	126.75
21.89	126.92
21.9	127.08
21.9	127.08
21.91	127.23
21.93	127.4
21.94	127.57
21.94	127.57
21.94	127.57
21.95	127.73
21.96	127.89
21.96	127.89
21.97	128.05
21.97	128.05
21.98	128.22
21.98	128.22
21.99	128.39
22.0	128.55
22.0	128.55
22.01	128.7
22.02	128.87
22.03	129.04
22.03	129.04
22.04	129.2
22.07	129.52
22.07	129.52
22.07	129.52
22.07	129.52
22.07	129.52
22.08	129.69
22.1	130.01
22.1	130.01
22.11	130.17
22.13	130.51
22.13	130.51
22.14	130.66
22.17	131.16
22.2	131.64
22.23	131.92
22.23	131.92
22.24	132.02
22.24	132.02
22.26	132.22
22.26	132.22
22.27	132.32
22.28	132.42
22.29	132.52
22.29	132.52
22.3	132.62
22.31	132.72
22.32	132.81
22.32	132.81
22.33	132.91
22.36	133.11
22.36	133.11
22.37	133.2
22.38	133.3
22.39	133.4
22.39	133.4
22.4	133.5
22.41	133.59
22.41	133.59
22.42	133.69
22.42	133.69
22.43	133.79
22.44	133.89
22.44	133.89
22.45	133.98
22.45	133.98
22.52	134.57
22.52	134.57
22.55	134.86
22.55	134.86
22.59	135.22
22.67	135.99
22.72	136.38
22.72	136.38
22.76	136.77
22.76	136.77
22.8	137.16
22.8	137.16
22.84	137.55
22.84	137.55
22.93	138.32
22.93	138.32
22.97	138.7
22.97	138.7
23.06	139.49
23.06	139.49
23.1	139.87
23.1	139.87
23.21	140.87
23.27	141.4
23.3	141.66
23.36	142.2
23.38	142.46
23.44	142.99
23.47	143.25
23.56	144.07
23.62	144.64
23.65	144.92
