age(kyr) mean(permil) sigma(permil)
1678.000000 3.553425 0.126007
1679.000000 3.538306 0.124853
1680.000000 3.529349 0.125326
1681.000000 3.526963 0.127186
1682.000000 3.536190 0.130441
1683.000000 3.554387 0.134795
1684.000000 3.580924 0.139286
1685.000000 3.615686 0.142870
1686.000000 3.652468 0.144265
1687.000000 3.683376 0.144062
1688.000000 3.706343 0.144091
1689.000000 3.719387 0.143971
1690.000000 3.728562 0.144176
1691.000000 3.736781 0.146332
1692.000000 3.745573 0.150479
1693.000000 3.759830 0.156463
1694.000000 3.780975 0.164541
1695.000000 3.812614 0.173428
1696.000000 3.855698 0.182412
1697.000000 3.906990 0.188491
1698.000000 3.962617 0.190235
1699.000000 4.014701 0.187162
1700.000000 4.056197 0.179673
1701.000000 4.084857 0.170498
1702.000000 4.098137 0.161578
1703.000000 4.098120 0.153205
1704.000000 4.085375 0.146122
1705.000000 4.065711 0.140734
1706.000000 4.040475 0.136561
1707.000000 4.007038 0.133885
1708.000000 3.973750 0.133841
1709.000000 3.937630 0.135646
1710.000000 3.902509 0.139586
1711.000000 3.866831 0.144536
1712.000000 3.829474 0.149951
1713.000000 3.788375 0.155569
1714.000000 3.743443 0.160212
1715.000000 3.695994 0.163688
1716.000000 3.649197 0.165902
1717.000000 3.611330 0.166872
1718.000000 3.590655 0.167451
1719.000000 3.590700 0.167891
1720.000000 3.606584 0.168064
1721.000000 3.635181 0.167048
1722.000000 3.671631 0.165219
1723.000000 3.707285 0.162617
1724.000000 3.735238 0.159787
1725.000000 3.752057 0.157275
1726.000000 3.758893 0.155150
1727.000000 3.760324 0.153819
1728.000000 3.755717 0.153861
1729.000000 3.746220 0.155914
1730.000000 3.729609 0.159717
1731.000000 3.706202 0.164806
1732.000000 3.680637 0.171348
1733.000000 3.654655 0.178459
1734.000000 3.633022 0.185265
1735.000000 3.618374 0.191137
1736.000000 3.612075 0.196568
1737.000000 3.614665 0.202205
1738.000000 3.626613 0.208041
1739.000000 3.645183 0.213415
1740.000000 3.669977 0.218782
1741.000000 3.701629 0.223564
1742.000000 3.738268 0.227682
1743.000000 3.776612 0.230342
1744.000000 3.813889 0.231192
1745.000000 3.848172 0.230138
1746.000000 3.877620 0.227191
1747.000000 3.895785 0.222520
1748.000000 3.900965 0.216471
1749.000000 3.892315 0.209593
1750.000000 3.872499 0.202857
1751.000000 3.844549 0.196591
1752.000000 3.811742 0.191074
1753.000000 3.776913 0.186973
1754.000000 3.741610 0.184257
1755.000000 3.706456 0.182480
1756.000000 3.671175 0.181459
1757.000000 3.637556 0.180423
1758.000000 3.604670 0.177825
1759.000000 3.570746 0.173208
1760.000000 3.536861 0.167110
1761.000000 3.509503 0.160788
1762.000000 3.491045 0.155333
1763.000000 3.481352 0.151343
1764.000000 3.472307 0.149038
1765.000000 3.464346 0.148941
1766.000000 3.459822 0.150538
1767.000000 3.457376 0.153188
1768.000000 3.456994 0.155921
1769.000000 3.458920 0.157646
1770.000000 3.467395 0.158623
1771.000000 3.480696 0.159024
1772.000000 3.496330 0.158434
1773.000000 3.512566 0.157453
1774.000000 3.534883 0.156286
1775.000000 3.560605 0.154829
1776.000000 3.585381 0.152782
1777.000000 3.602088 0.149907
1778.000000 3.607918 0.148715
1779.000000 3.611574 0.148336
1780.000000 3.618863 0.147490
1781.000000 3.636765 0.146455
1782.000000 3.661639 0.145444
1783.000000 3.694028 0.143910
1784.000000 3.727578 0.142629
1785.000000 3.762435 0.142102
1786.000000 3.796906 0.142605
1787.000000 3.830525 0.143453
1788.000000 3.866683 0.143962
1789.000000 3.905690 0.144408
1790.000000 3.945898 0.142648
1791.000000 3.984025 0.138769
1792.000000 4.011872 0.132511
1793.000000 4.016168 0.126488
1794.000000 3.996381 0.121051
1795.000000 3.971212 0.117224
1796.000000 3.946692 0.116482
1797.000000 3.914980 0.119719
1798.000000 3.875310 0.125391
1799.000000 3.825696 0.131847
1800.000000 3.766641 0.137816
1801.000000 3.705406 0.142037
1802.000000 3.646916 0.143971
1803.000000 3.599701 0.144397
1804.000000 3.568165 0.143766
1805.000000 3.556056 0.143258
1806.000000 3.553248 0.143018
1807.000000 3.551363 0.143761
1808.000000 3.548760 0.146052
1809.000000 3.544885 0.149636
1810.000000 3.538984 0.154811
1811.000000 3.537921 0.161689
1812.000000 3.541760 0.169958
1813.000000 3.550011 0.178956
1814.000000 3.560135 0.188207
1815.000000 3.572943 0.197318
1816.000000 3.587442 0.205763
1817.000000 3.601787 0.212806
1818.000000 3.615267 0.218270
1819.000000 3.625911 0.221780
1820.000000 3.631524 0.223543
1821.000000 3.629171 0.223314
1822.000000 3.620811 0.221277
1823.000000 3.607545 0.217280
1824.000000 3.589437 0.211790
1825.000000 3.568491 0.205479
1826.000000 3.549104 0.199231
1827.000000 3.531883 0.194110
1828.000000 3.517562 0.190539
1829.000000 3.506906 0.188942
1830.000000 3.501982 0.189055
1831.000000 3.505328 0.191217
1832.000000 3.518243 0.194317
1833.000000 3.539310 0.198197
1834.000000 3.566687 0.201242
1835.000000 3.599417 0.203040
1836.000000 3.633173 0.203545
1837.000000 3.666382 0.202330
1838.000000 3.697491 0.199201
1839.000000 3.727830 0.195029
1840.000000 3.754675 0.190415
1841.000000 3.776860 0.185835
1842.000000 3.796266 0.182039
1843.000000 3.814282 0.178309
1844.000000 3.819375 0.174392
1845.000000 3.798288 0.171313
1846.000000 3.758602 0.168494
1847.000000 3.715244 0.165198
1848.000000 3.674825 0.161938
1849.000000 3.637682 0.158823
1850.000000 3.603874 0.156395
1851.000000 3.571540 0.155170
1852.000000 3.539122 0.154977
1853.000000 3.508953 0.154913
1854.000000 3.483994 0.154624
1855.000000 3.473293 0.154992
1856.000000 3.475168 0.156407
1857.000000 3.486571 0.158567
1858.000000 3.506007 0.161042
1859.000000 3.532186 0.164822
1860.000000 3.562944 0.168715
1861.000000 3.594603 0.173070
1862.000000 3.628127 0.177658
1863.000000 3.662899 0.182221
1864.000000 3.694101 0.186567
1865.000000 3.720221 0.190892
1866.000000 3.742957 0.195276
1867.000000 3.764633 0.199890
1868.000000 3.785085 0.204729
1869.000000 3.807719 0.209594
1870.000000 3.831072 0.214222
1871.000000 3.854243 0.218149
1872.000000 3.880911 0.220368
1873.000000 3.906714 0.220379
1874.000000 3.923697 0.217862
1875.000000 3.919643 0.213626
1876.000000 3.893918 0.207735
1877.000000 3.857269 0.199744
1878.000000 3.822935 0.190365
1879.000000 3.795741 0.181123
1880.000000 3.774858 0.173218
1881.000000 3.758596 0.167659
1882.000000 3.742782 0.164778
1883.000000 3.721492 0.163852
1884.000000 3.691616 0.163867
1885.000000 3.657258 0.164011
1886.000000 3.623864 0.162693
1887.000000 3.596536 0.159620
1888.000000 3.575093 0.155260
1889.000000 3.559622 0.150234
1890.000000 3.550368 0.144245
1891.000000 3.539388 0.138203
1892.000000 3.524369 0.133268
1893.000000 3.506059 0.129479
1894.000000 3.489208 0.127699
1895.000000 3.476927 0.127508
1896.000000 3.472421 0.128704
1897.000000 3.476249 0.131596
1898.000000 3.480667 0.135104
1899.000000 3.488187 0.139980
1900.000000 3.499632 0.145735
1901.000000 3.518007 0.151874
1902.000000 3.546864 0.158362
1903.000000 3.584153 0.163428
1904.000000 3.624850 0.165614
1905.000000 3.664506 0.166739
1906.000000 3.702370 0.168492
1907.000000 3.739967 0.169772
1908.000000 3.778759 0.169399
1909.000000 3.823272 0.167329
1910.000000 3.872033 0.163299
1911.000000 3.917725 0.156792
1912.000000 3.954991 0.149461
1913.000000 3.983243 0.142046
1914.000000 4.002584 0.134820
1915.000000 4.017490 0.128197
1916.000000 4.022211 0.123167
1917.000000 4.003553 0.120347
1918.000000 3.950931 0.119239
1919.000000 3.887009 0.117727
1920.000000 3.828177 0.115977
1921.000000 3.774365 0.114413
1922.000000 3.726138 0.112592
1923.000000 3.687940 0.110042
1924.000000 3.658970 0.106565
1925.000000 3.638181 0.104423
1926.000000 3.619883 0.103873
1927.000000 3.598197 0.105073
1928.000000 3.575409 0.107046
1929.000000 3.549184 0.110730
1930.000000 3.513480 0.115722
1931.000000 3.471405 0.120548
1932.000000 3.429645 0.125299
1933.000000 3.394841 0.131852
1934.000000 3.367432 0.139229
1935.000000 3.346085 0.147951
1936.000000 3.340047 0.158210
1937.000000 3.351891 0.168872
1938.000000 3.382076 0.179037
1939.000000 3.429494 0.188034
1940.000000 3.492558 0.194851
1941.000000 3.564034 0.199035
1942.000000 3.634030 0.199265
1943.000000 3.698581 0.195487
1944.000000 3.755696 0.189450
1945.000000 3.804499 0.182310
1946.000000 3.847047 0.174895
1947.000000 3.880959 0.167658
1948.000000 3.902931 0.161036
1949.000000 3.911774 0.155771
1950.000000 3.905957 0.152124
1951.000000 3.888574 0.149583
1952.000000 3.863369 0.147682
1953.000000 3.835894 0.146312
1954.000000 3.813721 0.145914
1955.000000 3.793770 0.146153
1956.000000 3.777146 0.146448
1957.000000 3.759267 0.146365
1958.000000 3.741954 0.146754
1959.000000 3.726318 0.147827
1960.000000 3.710969 0.148734
1961.000000 3.696123 0.149099
1962.000000 3.681620 0.149161
1963.000000 3.669220 0.148508
1964.000000 3.660683 0.147175
1965.000000 3.656915 0.145444
1966.000000 3.657298 0.142956
1967.000000 3.661902 0.139687
1968.000000 3.663184 0.135828
1969.000000 3.660212 0.132777
1970.000000 3.653081 0.130375
1971.000000 3.637365 0.128218
1972.000000 3.609562 0.126073
1973.000000 3.570816 0.124675
1974.000000 3.523108 0.122402
1975.000000 3.476127 0.119415
1976.000000 3.435263 0.116262
1977.000000 3.400207 0.115265
1978.000000 3.366153 0.115958
1979.000000 3.331940 0.118750
1980.000000 3.303282 0.123658
1981.000000 3.283661 0.129030
1982.000000 3.272119 0.135157
1983.000000 3.275436 0.141502
1984.000000 3.294973 0.146800
1985.000000 3.321802 0.150340
1986.000000 3.351334 0.151861
1987.000000 3.379081 0.152080
1988.000000 3.405474 0.152031
1989.000000 3.435541 0.152785
1990.000000 3.462661 0.154060
1991.000000 3.487800 0.155086
1992.000000 3.517005 0.156112
1993.000000 3.550004 0.157293
1994.000000 3.587773 0.158065
1995.000000 3.632895 0.157876
1996.000000 3.683582 0.156228
1997.000000 3.731917 0.153233
1998.000000 3.773664 0.149028
1999.000000 3.799097 0.144565
2000.000000 3.812159 0.139633
2001.000000 3.813376 0.134695
2002.000000 3.805038 0.130337
2003.000000 3.789249 0.126528
2004.000000 3.769948 0.123651
2005.000000 3.755044 0.122114
2006.000000 3.744045 0.121207
2007.000000 3.737995 0.122409
2008.000000 3.736435 0.125121
2009.000000 3.730116 0.127079
2010.000000 3.714161 0.128580
2011.000000 3.693788 0.130080
