Time (ka)	Benthic d18O (per mil)	Standard error (per mil)
0	2.729787638	0.22
1	2.774706118	0.22
2	2.774706118	0.22
3	2.808394977	0.22
4	2.707328399	0.22
5	2.696098779	0.22
6	2.797165357	0.22
7	2.752246878	0.22
8	2.785935737	0.22
9	2.830854217	0.22
10	3.077905854	0.22
11	3.201431672	0.22
12	3.392335209	0.22
13	3.717994185	0.22
14	3.785371904	0.22
15	3.976275441	0.22
16	4.155949359	0.22
17	4.436689855	0.22
18	4.537756434	0.22
19	4.571445293	0.22
20	4.425460235	0.22
21	4.571445293	0.22
22	4.492837954	0.22
23	4.447919475	0.22
24	4.403000996	0.22
25	4.425460235	0.22
26	4.391771376	0.22
27	4.346852896	0.22
28	4.167178979	0.22
29	4.144719739	0.22
30	4.223327078	0.22
31	4.11103088	0.22
32	4.0661124	0.22
33	4.009964301	0.22
34	3.998734681	0.22
35	4.032423541	0.22
36	4.0661124	0.22
37	3.863979243	0.22
38	3.841520003	0.22
39	4.021193921	0.22
40	4.032423541	0.22
41	4.05488278	0.22
42	4.08857164	0.22
43	3.953816202	0.22
44	3.920127342	0.22
45	3.965045822	0.22
46	3.942586582	0.22
47	3.774142284	0.22
48	3.830290383	0.22
49	3.920127342	0.22
50	3.908897722	0.22
51	3.762912664	0.22
52	3.785371904	0.22
53	3.774142284	0.22
54	3.751683044	0.22
55	3.740453425	0.22
56	3.796601524	0.22
57	3.886438483	0.22
58	3.751683044	0.22
59	3.807831144	0.22
60	3.785371904	0.22
61	3.942586582	0.22
62	3.976275441	0.22
63	4.07734202	0.22
64	4.133490119	0.22
65	4.05488278	0.22
66	4.0661124	0.22
67	4.09980126	0.22
68	4.05488278	0.22
69	3.953816202	0.22
70	3.908897722	0.22
71	3.751683044	0.22
72	3.673075705	0.22
73	3.717994185	0.22
74	3.717994185	0.22
75	3.448483309	0.22
76	3.594468367	0.22
77	3.740453425	0.22
78	3.774142284	0.22
79	3.639386846	0.22
80	3.482172168	0.22
81	3.515861028	0.22
82	3.35864635	0.22
83	3.31372787	0.22
84	3.201431672	0.22
85	3.257579771	0.22
86	3.482172168	0.22
87	3.594468367	0.22
88	3.785371904	0.22
89	3.729223805	0.22
90	3.695534945	0.22
91	3.493401788	0.22
92	3.583238747	0.22
93	3.470942548	0.22
94	3.538320267	0.22
95	3.459712928	0.22
96	3.482172168	0.22
97	3.31372787	0.22
98	3.482172168	0.22
99	3.493401788	0.22
100	3.246350151	0.22
101	3.414794449	0.22
102	3.257579771	0.22
103	3.32495749	0.22
104	3.381105589	0.22
105	3.583238747	0.22
106	3.527090647	0.22
107	3.616927606	0.22
108	3.538320267	0.22
109	3.673075705	0.22
110	3.639386846	0.22
111	3.661846086	0.22
111.5	3.605697986	0.22
112	3.437253689	0.22
112.5	3.527090647	0.22
113	3.414794449	0.22
113.5	3.392335209	0.22
114	3.33618711	0.22
114.5	3.122824333	0.22
115	2.965609655	0.22
115.5	2.898231936	0.22
116	2.887002316	0.22
116.5	2.864543076	0.22
117	2.774706118	0.22
119.2	2.819624597	0.22
121.4	2.954380035	0.22
123.6	2.707328399	0.22
125.8	2.729787638	0.22
128	2.752246878	0.22
129	2.988068895	0.22
130	3.403564829	0.22
131	3.538320267	0.22
132	3.616927606	0.22
133	3.841520003	0.22
134	4.223327078	0.22
135	4.390049378	0.22
135.1	4.407126	0.22
135.2	4.414498	0.22
135.3	4.421516	0.22
135.4	4.427955	0.22
135.5	4.434223	0.22
135.6	4.440511	0.22
135.7	4.446597	0.22
135.8	4.452361	0.22
135.9	4.45796	0.22
136	4.463278	0.22
136.006125	4.414498	0.22
136.0783791	4.421516	0.22
136.1506332	4.427955	0.22
136.2319162	4.434223	0.22
136.319616	4.440511	0.22
136.4073158	4.446597	0.22
136.4792796	4.452361	0.22
136.5401175	4.45796	0.22
136.6009554	4.463278	0.22
136.6617933	4.468249	0.22
136.7368007	4.472986	0.22
136.8515112	4.477286	0.22
136.9662217	4.481234	0.22
137.0697403	4.48497	0.22
137.1729173	4.488523	0.22
137.28326	4.492006	0.22
137.4034391	4.495186	0.22
137.5282032	4.498107	0.22
137.6680475	4.500728	0.22
137.8109297	4.503298	0.22
137.9593906	4.505864	0.22
138.1202195	4.508444	0.22
138.2717405	4.510791	0.22
138.4357051	4.512751	0.22
138.6119784	4.514474	0.22
138.7853281	4.516036	0.22
138.9575191	4.517393	0.22
139.1175001	4.518562	0.22
139.2759294	4.519491	0.22
139.450509	4.519997	0.22
139.6221064	4.52028	0.22
139.7565133	4.520144	0.22
139.8909202	4.51952	0.22
140.0305906	4.518783	0.22
140.1718244	4.517817	0.22
140.3090974	4.516715	0.22
140.4430127	4.515479	0.22
140.5770021	4.514236	0.22
140.7113083	4.512534	0.22
140.8456145	4.510784	0.22
140.9799207	4.508989	0.22
141.1142269	4.507035	0.22
141.2718904	4.504892	0.22
141.4529179	4.502461	0.22
141.6234466	4.499933	0.22
141.7906651	4.497249	0.22
141.93196	4.494234	0.22
142.0696187	4.491337	0.22
142.2361225	4.488306	0.22
142.4171098	4.485261	0.22
142.5725876	4.482102	0.22
142.7258728	4.478742	0.22
142.869588	4.475296	0.22
143.0128089	4.471695	0.22
143.1486071	4.468031	0.22
143.2830174	4.46428	0.22
143.4115597	4.460383	0.22
143.5361223	4.456144	0.22
143.6581716	4.451885	0.22
143.7680934	4.447287	0.22
143.8780151	4.442767	0.22
143.9822798	4.438387	0.22
144.0788768	4.434228	0.22
144.1754739	4.430106	0.22
144.2833565	4.426354	0.22
144.4177587	4.42279	0.22
144.5500172	4.419466	0.22
144.6430183	4.416297	0.22
144.7360194	4.413398	0.22
144.8290205	4.410727	0.22
144.9811926	4.408033	0.22
145.1477105	4.405545	0.22
145.3320878	4.403008	0.22
145.5186743	4.400198	0.22
145.708994	4.397323	0.22
145.9058999	4.394339	0.22
146.0892498	4.391277	0.22
146.2260182	4.388153	0.22
146.3678357	4.385188	0.22
146.4591044	4.382289	0.22
146.550373	4.379447	0.22
146.6416417	4.376344	0.22
146.7620702	4.373092	0.22
146.915984	4.369791	0.22
147.067608	4.366187	0.22
147.2148746	4.362531	0.22
147.3641432	4.358626	0.22
147.527083	4.354676	0.22
147.6829966	4.350508	0.22
147.7893722	4.34632	0.22
147.8957479	4.342088	0.22
148.0038153	4.338126	0.22
148.140751	4.334242	0.22
148.2776867	4.330316	0.22
148.4802874	4.326465	0.22
148.7018623	4.322461	0.22
148.8896954	4.318179	0.22
149.0579289	4.313698	0.22
149.2096473	4.309257	0.22
149.3503461	4.304897	0.22
149.4738819	4.300676	0.22
149.5974176	4.296361	0.22
149.7198719	4.291746	0.22
149.8419626	4.286783	0.22
149.9630202	4.281536	0.22
150.0712593	4.276103	0.22
150.1794985	4.270566	0.22
150.2876653	4.265081	0.22
150.3946695	4.25952	0.22
150.5016738	4.253814	0.22
150.6092393	4.248086	0.22
150.7821601	4.242548	0.22
150.9381951	4.237222	0.22
151.0349918	4.232022	0.22
151.1317885	4.22688	0.22
151.2285852	4.221827	0.22
151.3268046	4.216709	0.22
151.4250256	4.211442	0.22
151.5232467	4.206118	0.22
151.6214678	4.200692	0.22
151.7196889	4.195202	0.22
151.8179099	4.18941	0.22
151.9284589	4.183805	0.22
152.0440631	4.178521	0.22
152.1596672	4.173571	0.22
152.2752713	4.168684	0.22
152.3908755	4.163948	0.22
152.5269979	4.159391	0.22
152.6987715	4.155121	0.22
152.8731352	4.151017	0.22
153.0494765	4.147061	0.22
153.2042396	4.143737	0.22
153.3541179	4.140689	0.22
153.5034886	4.137535	0.22
153.6526942	4.134428	0.22
153.8018997	4.13153	0.22
153.9511053	4.128532	0.22
154.0786848	4.125569	0.22
154.1926712	4.122688	0.22
154.3066575	4.119967	0.22
154.4276457	4.117268	0.22
154.5493761	4.114843	0.22
154.6503613	4.112746	0.22
154.715517	4.110905	0.22
154.7806727	4.108883	0.22
154.8423557	4.106716	0.22
154.897856	4.104584	0.22
154.9808936	4.102346	0.22
155.0803896	4.100215	0.22
155.1798856	4.098334	0.22
155.278187	4.096547	0.22
155.3764659	4.094967	0.22
155.4782596	4.093557	0.22
155.5880922	4.092531	0.22
155.6979248	4.091739	0.22
155.7994336	4.091216	0.22
155.9001052	4.090989	0.22
155.995986	4.091082	0.22
156.0804189	4.091494	0.22
156.1648517	4.092099	0.22
156.2451687	4.093097	0.22
156.3065773	4.094195	0.22
156.3679859	4.095259	0.22
156.4293946	4.096406	0.22
156.4908032	4.09733	0.22
156.564814	4.098189	0.22
156.6403173	4.099213	0.22
156.7158205	4.100463	0.22
156.7871985	4.101717	0.22
156.8526229	4.103116	0.22
156.9180473	4.104616	0.22
156.9834717	4.106478	0.22
157.0724195	4.108299	0.22
157.1985275	4.110169	0.22
157.307801	4.112598	0.22
157.3780209	4.115074	0.22
157.4482408	4.117667	0.22
157.5184608	4.120366	0.22
157.5975867	4.123309	0.22
157.6838763	4.126242	0.22
157.770166	4.129131	0.22
157.8650449	4.131824	0.22
157.9683428	4.134435	0.22
158.0716406	4.137029	0.22
158.1644136	4.139661	0.22
158.2567235	4.142225	0.22
158.3490335	4.144619	0.22
158.4295161	4.146904	0.22
158.5077468	4.14897	0.22
158.5880506	4.150675	0.22
158.6743422	4.152237	0.22
158.7606338	4.15369	0.22
158.8149055	4.155255	0.22
158.8536272	4.156752	0.22
158.892349	4.158299	0.22
158.9310707	4.159758	0.22
158.9697925	4.160937	0.22
159.0085142	4.16179	0.22
159.0615337	4.162427	0.22
159.1158901	4.162843	0.22
159.1702465	4.163131	0.22
159.2246029	4.163247	0.22
159.25907	4.163269	0.22
159.2889394	4.163254	0.22
159.3188088	4.162749	0.22
159.3486782	4.162263	0.22
159.3785476	4.161839	0.22
159.408417	4.161407	0.22
159.4382864	4.160916	0.22
159.4799064	4.160413	0.22
159.5436441	4.159877	0.22
159.6073819	4.159392	0.22
159.6711196	4.158971	0.22
159.7598538	4.158544	0.22
159.8530513	4.158328	0.22
159.9223274	4.15816	0.22
159.9630541	4.158141	0.22
160.0037807	4.157945	0.22
160.0445074	4.157816	0.22
160.085234	4.157831	0.22
160.1259607	4.157903	0.22
160.1666873	4.15813	0.22
160.207414	4.158514	0.22
160.2481406	4.158646	0.22
160.2888673	4.158624	0.22
160.3295939	4.158606	0.22
160.3800906	4.158245	0.22
160.4401396	4.157786	0.22
160.5001886	4.157295	0.22
160.5602376	4.156767	0.22
160.6372302	4.156088	0.22
160.7186652	4.155125	0.22
