age(kyr) mean(permil) sigma(permil)
0.000000 -2.649341 0.172685
0.100000 -2.649412 0.171163
0.200000 -2.649054 0.169764
0.300000 -2.648307 0.168460
0.400000 -2.647009 0.167244
0.500000 -2.645368 0.166099
0.600000 -2.642780 0.165005
0.700000 -2.639658 0.163893
0.800000 -2.635842 0.162617
0.900000 -2.631518 0.161189
1.000000 -2.626496 0.159516
1.100000 -2.621531 0.157558
1.200000 -2.617072 0.155335
1.300000 -2.612986 0.152800
1.400000 -2.609113 0.150069
1.500000 -2.605420 0.147183
1.600000 -2.601674 0.144219
1.700000 -2.597373 0.141122
1.800000 -2.593036 0.138000
1.900000 -2.588743 0.134981
2.000000 -2.584803 0.132163
2.100000 -2.581232 0.129662
2.200000 -2.578081 0.127535
2.300000 -2.575240 0.125814
2.400000 -2.572604 0.124547
2.500000 -2.569960 0.123793
2.600000 -2.567590 0.123598
2.700000 -2.565521 0.123831
2.800000 -2.563555 0.124380
2.900000 -2.561506 0.125149
3.000000 -2.559461 0.125975
3.100000 -2.556999 0.126813
3.200000 -2.554186 0.127576
3.300000 -2.551218 0.128279
3.400000 -2.548593 0.128935
3.500000 -2.546064 0.129573
3.600000 -2.543705 0.130211
3.700000 -2.541363 0.130764
3.800000 -2.538933 0.131242
3.900000 -2.536381 0.131717
4.000000 -2.533801 0.132294
4.100000 -2.531318 0.133000
4.200000 -2.528979 0.133635
4.300000 -2.526570 0.133994
4.400000 -2.523848 0.134054
4.500000 -2.521121 0.133780
4.600000 -2.518620 0.133274
4.700000 -2.516186 0.132607
4.800000 -2.514298 0.131785
4.900000 -2.512661 0.130963
5.000000 -2.510766 0.130291
5.100000 -2.508292 0.129845
5.200000 -2.505911 0.129541
5.300000 -2.503158 0.129195
5.400000 -2.500051 0.128732
5.500000 -2.496904 0.128183
5.600000 -2.493465 0.127805
5.700000 -2.489386 0.127564
5.800000 -2.484918 0.127525
5.900000 -2.480165 0.127732
6.000000 -2.475019 0.128075
6.100000 -2.469664 0.128553
6.200000 -2.463925 0.128949
6.300000 -2.457628 0.129278
6.400000 -2.450991 0.129762
6.500000 -2.444347 0.130325
6.600000 -2.437608 0.131013
6.700000 -2.430854 0.131528
6.800000 -2.424011 0.131678
6.900000 -2.417522 0.131276
7.000000 -2.411325 0.130339
7.100000 -2.405286 0.129098
7.200000 -2.399687 0.127602
7.300000 -2.394850 0.125864
7.400000 -2.390208 0.124120
7.500000 -2.385461 0.122672
7.600000 -2.380742 0.121777
7.700000 -2.375737 0.121388
7.800000 -2.370776 0.121540
7.900000 -2.365662 0.122247
8.000000 -2.360301 0.123519
8.100000 -2.354987 0.125528
8.200000 -2.349727 0.128159
8.300000 -2.343765 0.131382
8.400000 -2.337112 0.135194
8.500000 -2.330042 0.139380
8.600000 -2.321749 0.143794
8.700000 -2.312779 0.148146
8.800000 -2.303302 0.152353
8.900000 -2.293322 0.156306
9.000000 -2.282948 0.159939
9.100000 -2.271907 0.163390
9.200000 -2.260402 0.166591
9.300000 -2.248572 0.169522
9.400000 -2.236433 0.172112
9.500000 -2.223943 0.174327
9.600000 -2.211277 0.176184
9.700000 -2.198409 0.177625
9.800000 -2.185437 0.178685
9.900000 -2.172220 0.179528
10.000000 -2.158675 0.180071
10.100000 -2.145031 0.180347
10.200000 -2.131064 0.180263
10.300000 -2.117108 0.180061
10.400000 -2.103202 0.179795
10.500000 -2.089461 0.179506
10.600000 -2.075832 0.179067
10.700000 -2.062179 0.178394
10.800000 -2.048285 0.177497
10.900000 -2.034700 0.176301
11.000000 -2.021253 0.174915
11.100000 -2.008357 0.173426
11.200000 -1.995862 0.171955
11.300000 -1.983419 0.170470
11.400000 -1.970940 0.169055
11.500000 -1.958624 0.167676
11.600000 -1.946243 0.166345
11.700000 -1.934172 0.164988
11.800000 -1.922652 0.163539
11.900000 -1.911471 0.162040
12.000000 -1.900502 0.160498
